"project","language","article","access","agent","granularity","date","views"
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-07-01,11
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-07-02,3
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-07-03,9
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-07-04,10
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-07-05,5
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-07-06,8
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-07-07,6
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-07-08,3
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-07-09,5
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-07-10,6
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-07-11,19
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-07-12,11
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-07-13,9
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-07-14,9
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-07-15,3
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-07-16,7
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-07-17,6
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-07-18,8
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-07-19,7
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-07-20,7
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-07-21,15
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-07-22,4
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-07-23,2
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-07-24,9
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-07-25,15
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-07-26,8
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-07-27,17
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-07-28,2
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-07-29,5
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-07-30,5
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-07-31,8
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-08-01,8
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-08-02,10
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-08-03,13
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-08-04,6
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-08-05,3
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-08-06,4
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-08-07,8
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-08-08,6
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-08-09,2
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-08-10,8
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-08-11,6
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-08-12,3
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-08-13,6
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-08-14,10
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-08-15,4
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-08-16,14
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-08-17,6
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-08-18,4
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-08-19,2
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-08-20,2
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-08-21,47
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-08-22,10
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-08-23,8
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-08-24,7
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-08-25,9
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-08-26,2
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-08-27,6
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-08-28,11
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-08-29,6
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-08-30,9
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-08-31,6
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-09-01,6
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-09-02,5
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-09-03,8
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-09-04,13
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-09-05,1
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-09-06,6
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-09-07,7
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-09-08,7
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-09-09,5
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-09-10,5
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-09-11,7
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-09-12,4
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-09-13,7
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-09-14,16
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-09-15,11
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-09-16,3
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-09-17,1
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-09-18,9
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-09-19,5
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-09-20,15
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-09-21,7
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-09-22,6
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-09-23,8
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-09-24,6
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-09-25,7
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-09-26,8
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-09-27,4
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-09-28,5
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-09-29,8
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-09-30,5
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-10-01,5
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-10-02,4
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-10-03,6
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-10-04,11
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-10-05,7
"wikipedia","de","A2LL","all-access","all-agents","daily",2017-10-06,5
