"project","language","article","access","agent","granularity","date","views"
"wikipedia","de","Altersrente","all-access","all-agents","daily",2015-07-01,290
"wikipedia","de","Altersrente","all-access","all-agents","daily",2015-07-02,227
"wikipedia","de","Altersrente","all-access","all-agents","daily",2015-07-03,167
"wikipedia","de","Altersrente","all-access","all-agents","daily",2015-07-04,108
"wikipedia","de","Altersrente","all-access","all-agents","daily",2015-07-05,143
"wikipedia","de","Altersrente","all-access","all-agents","daily",2015-07-06,273
"wikipedia","de","Altersrente","all-access","all-agents","daily",2015-07-07,249
"wikipedia","de","Altersrente","all-access","all-agents","daily",2015-07-08,253
"wikipedia","de","Altersrente","all-access","all-agents","daily",2015-07-09,268
"wikipedia","de","Altersrente","all-access","all-agents","daily",2015-07-10,242
"wikipedia","de","Altersrente","all-access","all-agents","daily",2015-07-11,148
"wikipedia","de","Altersrente","all-access","all-agents","daily",2015-07-12,171
"wikipedia","de","Altersrente","all-access","all-agents","daily",2015-07-13,284
"wikipedia","de","Altersrente","all-access","all-agents","daily",2015-07-14,299
"wikipedia","de","Altersrente","all-access","all-agents","daily",2015-07-15,281
"wikipedia","de","Altersrente","all-access","all-agents","daily",2015-07-16,216
"wikipedia","de","Altersrente","all-access","all-agents","daily",2015-07-17,155
"wikipedia","de","Altersrente","all-access","all-agents","daily",2015-07-18,126
"wikipedia","de","Altersrente","all-access","all-agents","daily",2015-07-19,137
"wikipedia","de","Altersrente","all-access","all-agents","daily",2015-07-20,253
"wikipedia","de","Altersrente","all-access","all-agents","daily",2015-07-21,249
"wikipedia","de","Altersrente","all-access","all-agents","daily",2015-07-22,246
"wikipedia","de","Altersrente","all-access","all-agents","daily",2015-07-23,228
"wikipedia","de","Altersrente","all-access","all-agents","daily",2015-07-24,211
"wikipedia","de","Altersrente","all-access","all-agents","daily",2015-07-25,119
"wikipedia","de","Altersrente","all-access","all-agents","daily",2015-07-26,111
"wikipedia","de","Altersrente","all-access","all-agents","daily",2015-07-27,240
"wikipedia","de","Altersrente","all-access","all-agents","daily",2015-07-28,261
"wikipedia","de","Altersrente","all-access","all-agents","daily",2015-07-29,268
"wikipedia","de","Altersrente","all-access","all-agents","daily",2015-07-30,241
"wikipedia","de","Altersrente","all-access","all-agents","daily",2015-07-31,159
"wikipedia","de","Altersrente","all-access","all-agents","daily",2015-08-01,84
"wikipedia","de","Altersrente","all-access","all-agents","daily",2015-08-02,147
"wikipedia","de","Altersrente","all-access","all-agents","daily",2015-08-03,182
"wikipedia","de","Altersrente","all-access","all-agents","daily",2015-08-04,211
"wikipedia","de","Altersrente","all-access","all-agents","daily",2015-08-05,205
"wikipedia","de","Altersrente","all-access","all-agents","daily",2015-08-06,209
"wikipedia","de","Altersrente","all-access","all-agents","daily",2015-08-07,175
"wikipedia","de","Altersrente","all-access","all-agents","daily",2015-08-08,112
"wikipedia","de","Altersrente","all-access","all-agents","daily",2015-08-09,141
"wikipedia","de","Altersrente","all-access","all-agents","daily",2015-08-10,212
"wikipedia","de","Altersrente","all-access","all-agents","daily",2015-08-11,247
"wikipedia","de","Altersrente","all-access","all-agents","daily",2015-08-12,229
