"project","language","article","access","agent","granularity","date","views"
"wikipedia","de","Anpassungspfad","all-access","all-agents","daily",2017-07-01,2
"wikipedia","de","Anpassungspfad","all-access","all-agents","daily",2017-07-02,1
"wikipedia","de","Anpassungspfad","all-access","all-agents","daily",2017-07-04,1
"wikipedia","de","Anpassungspfad","all-access","all-agents","daily",2017-07-05,1
"wikipedia","de","Anpassungspfad","all-access","all-agents","daily",2017-07-06,1
"wikipedia","de","Anpassungspfad","all-access","all-agents","daily",2017-07-08,1
"wikipedia","de","Anpassungspfad","all-access","all-agents","daily",2017-07-11,2
"wikipedia","de","Anpassungspfad","all-access","all-agents","daily",2017-07-12,1
"wikipedia","de","Anpassungspfad","all-access","all-agents","daily",2017-07-15,3
"wikipedia","de","Anpassungspfad","all-access","all-agents","daily",2017-07-16,1
"wikipedia","de","Anpassungspfad","all-access","all-agents","daily",2017-07-22,4
"wikipedia","de","Anpassungspfad","all-access","all-agents","daily",2017-07-23,1
"wikipedia","de","Anpassungspfad","all-access","all-agents","daily",2017-07-24,2
"wikipedia","de","Anpassungspfad","all-access","all-agents","daily",2017-07-25,1
"wikipedia","de","Anpassungspfad","all-access","all-agents","daily",2017-07-26,2
"wikipedia","de","Anpassungspfad","all-access","all-agents","daily",2017-07-27,3
"wikipedia","de","Anpassungspfad","all-access","all-agents","daily",2017-07-29,2
"wikipedia","de","Anpassungspfad","all-access","all-agents","daily",2017-07-30,1
"wikipedia","de","Anpassungspfad","all-access","all-agents","daily",2017-07-31,1
"wikipedia","de","Anpassungspfad","all-access","all-agents","daily",2017-08-01,1
"wikipedia","de","Anpassungspfad","all-access","all-agents","daily",2017-08-02,1
"wikipedia","de","Anpassungspfad","all-access","all-agents","daily",2017-08-03,1
"wikipedia","de","Anpassungspfad","all-access","all-agents","daily",2017-08-05,3
"wikipedia","de","Anpassungspfad","all-access","all-agents","daily",2017-08-06,2
"wikipedia","de","Anpassungspfad","all-access","all-agents","daily",2017-08-09,1
"wikipedia","de","Anpassungspfad","all-access","all-agents","daily",2017-08-12,5
"wikipedia","de","Anpassungspfad","all-access","all-agents","daily",2017-08-14,1
"wikipedia","de","Anpassungspfad","all-access","all-agents","daily",2017-08-18,1
"wikipedia","de","Anpassungspfad","all-access","all-agents","daily",2017-08-19,2
"wikipedia","de","Anpassungspfad","all-access","all-agents","daily",2017-08-20,2
"wikipedia","de","Anpassungspfad","all-access","all-agents","daily",2017-08-22,1
"wikipedia","de","Anpassungspfad","all-access","all-agents","daily",2017-08-23,1
"wikipedia","de","Anpassungspfad","all-access","all-agents","daily",2017-08-25,1
"wikipedia","de","Anpassungspfad","all-access","all-agents","daily",2017-08-26,4
"wikipedia","de","Anpassungspfad","all-access","all-agents","daily",2017-08-28,1
"wikipedia","de","Anpassungspfad","all-access","all-agents","daily",2017-08-30,2
"wikipedia","de","Anpassungspfad","all-access","all-agents","daily",2017-08-31,1
"wikipedia","de","Anpassungspfad","all-access","all-agents","daily",2017-09-01,2
"wikipedia","de","Anpassungspfad","all-access","all-agents","daily",2017-09-02,3
"wikipedia","de","Anpassungspfad","all-access","all-agents","daily",2017-09-04,1
"wikipedia","de","Anpassungspfad","all-access","all-agents","daily",2017-09-05,1
"wikipedia","de","Anpassungspfad","all-access","all-agents","daily",2017-09-07,1
"wikipedia","de","Anpassungspfad","all-access","all-agents","daily",2017-09-08,1
"wikipedia","de","Anpassungspfad","all-access","all-agents","daily",2017-09-09,3
"wikipedia","de","Anpassungspfad","all-access","all-agents","daily",2017-09-10,1
"wikipedia","de","Anpassungspfad","all-access","all-agents","daily",2017-09-11,1
"wikipedia","de","Anpassungspfad","all-access","all-agents","daily",2017-09-12,5
"wikipedia","de","Anpassungspfad","all-access","all-agents","daily",2017-09-18,1
"wikipedia","de","Anpassungspfad","all-access","all-agents","daily",2017-09-19,2
"wikipedia","de","Anpassungspfad","all-access","all-agents","daily",2017-09-21,1
"wikipedia","de","Anpassungspfad","all-access","all-agents","daily",2017-09-22,1
"wikipedia","de","Anpassungspfad","all-access","all-agents","daily",2017-09-23,1
"wikipedia","de","Anpassungspfad","all-access","all-agents","daily",2017-09-24,1
"wikipedia","de","Anpassungspfad","all-access","all-agents","daily",2017-09-26,2
"wikipedia","de","Anpassungspfad","all-access","all-agents","daily",2017-09-28,3
