"project","language","article","access","agent","granularity","date","views"
"wikipedia","de","Anrechnungszeit","all-access","all-agents","daily",2015-07-01,129
"wikipedia","de","Anrechnungszeit","all-access","all-agents","daily",2015-07-02,139
"wikipedia","de","Anrechnungszeit","all-access","all-agents","daily",2015-07-03,81
"wikipedia","de","Anrechnungszeit","all-access","all-agents","daily",2015-07-04,55
"wikipedia","de","Anrechnungszeit","all-access","all-agents","daily",2015-07-05,90
"wikipedia","de","Anrechnungszeit","all-access","all-agents","daily",2015-07-06,137
"wikipedia","de","Anrechnungszeit","all-access","all-agents","daily",2015-07-07,140
"wikipedia","de","Anrechnungszeit","all-access","all-agents","daily",2015-07-08,141
"wikipedia","de","Anrechnungszeit","all-access","all-agents","daily",2015-07-09,156
"wikipedia","de","Anrechnungszeit","all-access","all-agents","daily",2015-07-10,96
"wikipedia","de","Anrechnungszeit","all-access","all-agents","daily",2015-07-11,90
"wikipedia","de","Anrechnungszeit","all-access","all-agents","daily",2015-07-12,117
"wikipedia","de","Anrechnungszeit","all-access","all-agents","daily",2015-07-13,148
"wikipedia","de","Anrechnungszeit","all-access","all-agents","daily",2015-07-14,150
"wikipedia","de","Anrechnungszeit","all-access","all-agents","daily",2015-07-15,146
"wikipedia","de","Anrechnungszeit","all-access","all-agents","daily",2015-07-16,116
"wikipedia","de","Anrechnungszeit","all-access","all-agents","daily",2015-07-17,98
"wikipedia","de","Anrechnungszeit","all-access","all-agents","daily",2015-07-18,85
"wikipedia","de","Anrechnungszeit","all-access","all-agents","daily",2015-07-19,114
"wikipedia","de","Anrechnungszeit","all-access","all-agents","daily",2015-07-20,136
"wikipedia","de","Anrechnungszeit","all-access","all-agents","daily",2015-07-21,142
"wikipedia","de","Anrechnungszeit","all-access","all-agents","daily",2015-07-22,159
"wikipedia","de","Anrechnungszeit","all-access","all-agents","daily",2015-07-23,139
"wikipedia","de","Anrechnungszeit","all-access","all-agents","daily",2015-07-24,136
"wikipedia","de","Anrechnungszeit","all-access","all-agents","daily",2015-07-25,93
"wikipedia","de","Anrechnungszeit","all-access","all-agents","daily",2015-07-26,91
"wikipedia","de","Anrechnungszeit","all-access","all-agents","daily",2015-07-27,167
"wikipedia","de","Anrechnungszeit","all-access","all-agents","daily",2015-07-28,147
"wikipedia","de","Anrechnungszeit","all-access","all-agents","daily",2015-07-29,153
"wikipedia","de","Anrechnungszeit","all-access","all-agents","daily",2015-07-30,134
"wikipedia","de","Anrechnungszeit","all-access","all-agents","daily",2015-07-31,107
"wikipedia","de","Anrechnungszeit","all-access","all-agents","daily",2015-08-01,67
"wikipedia","de","Anrechnungszeit","all-access","all-agents","daily",2015-08-02,89
"wikipedia","de","Anrechnungszeit","all-access","all-agents","daily",2015-08-03,120
"wikipedia","de","Anrechnungszeit","all-access","all-agents","daily",2015-08-04,145
"wikipedia","de","Anrechnungszeit","all-access","all-agents","daily",2015-08-05,131
"wikipedia","de","Anrechnungszeit","all-access","all-agents","daily",2015-08-06,148
"wikipedia","de","Anrechnungszeit","all-access","all-agents","daily",2015-08-07,99
"wikipedia","de","Anrechnungszeit","all-access","all-agents","daily",2015-08-08,85
"wikipedia","de","Anrechnungszeit","all-access","all-agents","daily",2015-08-09,75
"wikipedia","de","Anrechnungszeit","all-access","all-agents","daily",2015-08-10,148
"wikipedia","de","Anrechnungszeit","all-access","all-agents","daily",2015-08-11,149
"wikipedia","de","Anrechnungszeit","all-access","all-agents","daily",2015-08-12,114
"wikipedia","de","Anrechnungszeit","all-access","all-agents","daily",2015-08-13,133
"wikipedia","de","Anrechnungszeit","all-access","all-agents","daily",2015-08-14,113
"wikipedia","de","Anrechnungszeit","all-access","all-agents","daily",2015-08-15,88
"wikipedia","de","Anrechnungszeit","all-access","all-agents","daily",2015-08-16,127
"wikipedia","de","Anrechnungszeit","all-access","all-agents","daily",2015-08-17,156
"wikipedia","de","Anrechnungszeit","all-access","all-agents","daily",2015-08-18,167
"wikipedia","de","Anrechnungszeit","all-access","all-agents","daily",2015-08-19,168
"wikipedia","de","Anrechnungszeit","all-access","all-agents","daily",2015-08-20,166
"wikipedia","de","Anrechnungszeit","all-access","all-agents","daily",2015-08-21,111
"wikipedia","de","Anrechnungszeit","all-access","all-agents","daily",2015-08-22,60
"wikipedia","de","Anrechnungszeit","all-access","all-agents","daily",2015-08-23,114
"wikipedia","de","Anrechnungszeit","all-access","all-agents","daily",2015-08-24,175
"wikipedia","de","Anrechnungszeit","all-access","all-agents","daily",2015-08-25,167
"wikipedia","de","Anrechnungszeit","all-access","all-agents","daily",2015-08-26,165
"wikipedia","de","Anrechnungszeit","all-access","all-agents","daily",2015-08-27,125
"wikipedia","de","Anrechnungszeit","all-access","all-agents","daily",2015-08-28,100
"wikipedia","de","Anrechnungszeit","all-access","all-agents","daily",2015-08-29,74
"wikipedia","de","Anrechnungszeit","all-access","all-agents","daily",2015-08-30,88
"wikipedia","de","Anrechnungszeit","all-access","all-agents","daily",2015-08-31,166
"wikipedia","de","Anrechnungszeit","all-access","all-agents","daily",2015-09-01,193
"wikipedia","de","Anrechnungszeit","all-access","all-agents","daily",2015-09-02,152
"wikipedia","de","Anrechnungszeit","all-access","all-agents","daily",2015-09-03,134
"wikipedia","de","Anrechnungszeit","all-access","all-agents","daily",2015-09-04,116
"wikipedia","de","Anrechnungszeit","all-access","all-agents","daily",2015-09-05,83
"wikipedia","de","Anrechnungszeit","all-access","all-agents","daily",2015-09-06,90
"wikipedia","de","Anrechnungszeit","all-access","all-agents","daily",2015-09-07,154
"wikipedia","de","Anrechnungszeit","all-access","all-agents","daily",2015-09-08,144
"wikipedia","de","Anrechnungszeit","all-access","all-agents","daily",2015-09-09,149
"wikipedia","de","Anrechnungszeit","all-access","all-agents","daily",2015-09-10,134
"wikipedia","de","Anrechnungszeit","all-access","all-agents","daily",2015-09-11,88
"wikipedia","de","Anrechnungszeit","all-access","all-agents","daily",2015-09-12,85
"wikipedia","de","Anrechnungszeit","all-access","all-agents","daily",2015-09-13,110
"wikipedia","de","Anrechnungszeit","all-access","all-agents","daily",2015-09-14,158
"wikipedia","de","Anrechnungszeit","all-access","all-agents","daily",2015-09-15,143
"wikipedia","de","Anrechnungszeit","all-access","all-agents","daily",2015-09-16,146
"wikipedia","de","Anrechnungszeit","all-access","all-agents","daily",2015-09-17,140
"wikipedia","de","Anrechnungszeit","all-access","all-agents","daily",2015-09-18,88
"wikipedia","de","Anrechnungszeit","all-access","all-agents","daily",2015-09-19,72
"wikipedia","de","Anrechnungszeit","all-access","all-agents","daily",2015-09-20,120
