"project","language","article","access","agent","granularity","date","views"
"wikipedia","de","Arbeitsgesellschaft","all-access","all-agents","daily",2017-07-01,3
"wikipedia","de","Arbeitsgesellschaft","all-access","all-agents","daily",2017-07-02,20
"wikipedia","de","Arbeitsgesellschaft","all-access","all-agents","daily",2017-07-03,15
"wikipedia","de","Arbeitsgesellschaft","all-access","all-agents","daily",2017-07-04,4
"wikipedia","de","Arbeitsgesellschaft","all-access","all-agents","daily",2017-07-05,42
"wikipedia","de","Arbeitsgesellschaft","all-access","all-agents","daily",2017-07-06,7
"wikipedia","de","Arbeitsgesellschaft","all-access","all-agents","daily",2017-07-07,6
"wikipedia","de","Arbeitsgesellschaft","all-access","all-agents","daily",2017-07-08,9
"wikipedia","de","Arbeitsgesellschaft","all-access","all-agents","daily",2017-07-09,11
"wikipedia","de","Arbeitsgesellschaft","all-access","all-agents","daily",2017-07-10,10
"wikipedia","de","Arbeitsgesellschaft","all-access","all-agents","daily",2017-07-11,4
"wikipedia","de","Arbeitsgesellschaft","all-access","all-agents","daily",2017-07-12,14
"wikipedia","de","Arbeitsgesellschaft","all-access","all-agents","daily",2017-07-13,13
"wikipedia","de","Arbeitsgesellschaft","all-access","all-agents","daily",2017-07-14,4
"wikipedia","de","Arbeitsgesellschaft","all-access","all-agents","daily",2017-07-15,3
"wikipedia","de","Arbeitsgesellschaft","all-access","all-agents","daily",2017-07-16,7
"wikipedia","de","Arbeitsgesellschaft","all-access","all-agents","daily",2017-07-17,6
"wikipedia","de","Arbeitsgesellschaft","all-access","all-agents","daily",2017-07-18,6
"wikipedia","de","Arbeitsgesellschaft","all-access","all-agents","daily",2017-07-19,2
"wikipedia","de","Arbeitsgesellschaft","all-access","all-agents","daily",2017-07-20,4
"wikipedia","de","Arbeitsgesellschaft","all-access","all-agents","daily",2017-07-21,5
"wikipedia","de","Arbeitsgesellschaft","all-access","all-agents","daily",2017-07-22,9
"wikipedia","de","Arbeitsgesellschaft","all-access","all-agents","daily",2017-07-23,27
"wikipedia","de","Arbeitsgesellschaft","all-access","all-agents","daily",2017-07-24,27
"wikipedia","de","Arbeitsgesellschaft","all-access","all-agents","daily",2017-07-25,10
"wikipedia","de","Arbeitsgesellschaft","all-access","all-agents","daily",2017-07-26,6
"wikipedia","de","Arbeitsgesellschaft","all-access","all-agents","daily",2017-07-27,17
"wikipedia","de","Arbeitsgesellschaft","all-access","all-agents","daily",2017-07-28,10
"wikipedia","de","Arbeitsgesellschaft","all-access","all-agents","daily",2017-07-29,4
"wikipedia","de","Arbeitsgesellschaft","all-access","all-agents","daily",2017-07-30,6
"wikipedia","de","Arbeitsgesellschaft","all-access","all-agents","daily",2017-07-31,3
"wikipedia","de","Arbeitsgesellschaft","all-access","all-agents","daily",2017-08-01,4
"wikipedia","de","Arbeitsgesellschaft","all-access","all-agents","daily",2017-08-02,2
"wikipedia","de","Arbeitsgesellschaft","all-access","all-agents","daily",2017-08-03,4
"wikipedia","de","Arbeitsgesellschaft","all-access","all-agents","daily",2017-08-04,7
"wikipedia","de","Arbeitsgesellschaft","all-access","all-agents","daily",2017-08-05,3
"wikipedia","de","Arbeitsgesellschaft","all-access","all-agents","daily",2017-08-06,2
"wikipedia","de","Arbeitsgesellschaft","all-access","all-agents","daily",2017-08-07,2
"wikipedia","de","Arbeitsgesellschaft","all-access","all-agents","daily",2017-08-08,3
