"project","language","article","access","agent","granularity","date","views"
"wikipedia","de","Arbeitslosengeld","all-access","all-agents","daily",2015-07-01,95
"wikipedia","de","Arbeitslosengeld","all-access","all-agents","daily",2015-07-02,94
"wikipedia","de","Arbeitslosengeld","all-access","all-agents","daily",2015-07-03,84
"wikipedia","de","Arbeitslosengeld","all-access","all-agents","daily",2015-07-04,43
"wikipedia","de","Arbeitslosengeld","all-access","all-agents","daily",2015-07-05,70
"wikipedia","de","Arbeitslosengeld","all-access","all-agents","daily",2015-07-06,101
"wikipedia","de","Arbeitslosengeld","all-access","all-agents","daily",2015-07-07,94
"wikipedia","de","Arbeitslosengeld","all-access","all-agents","daily",2015-07-08,100
"wikipedia","de","Arbeitslosengeld","all-access","all-agents","daily",2015-07-09,83
"wikipedia","de","Arbeitslosengeld","all-access","all-agents","daily",2015-07-10,69
"wikipedia","de","Arbeitslosengeld","all-access","all-agents","daily",2015-07-11,62
"wikipedia","de","Arbeitslosengeld","all-access","all-agents","daily",2015-07-12,86
"wikipedia","de","Arbeitslosengeld","all-access","all-agents","daily",2015-07-13,119
"wikipedia","de","Arbeitslosengeld","all-access","all-agents","daily",2015-07-14,103
"wikipedia","de","Arbeitslosengeld","all-access","all-agents","daily",2015-07-15,99
"wikipedia","de","Arbeitslosengeld","all-access","all-agents","daily",2015-07-16,104
"wikipedia","de","Arbeitslosengeld","all-access","all-agents","daily",2015-07-17,87
"wikipedia","de","Arbeitslosengeld","all-access","all-agents","daily",2015-07-18,63
"wikipedia","de","Arbeitslosengeld","all-access","all-agents","daily",2015-07-19,94
"wikipedia","de","Arbeitslosengeld","all-access","all-agents","daily",2015-07-20,90
"wikipedia","de","Arbeitslosengeld","all-access","all-agents","daily",2015-07-21,97
"wikipedia","de","Arbeitslosengeld","all-access","all-agents","daily",2015-07-22,99
"wikipedia","de","Arbeitslosengeld","all-access","all-agents","daily",2015-07-23,99
"wikipedia","de","Arbeitslosengeld","all-access","all-agents","daily",2015-07-24,111
"wikipedia","de","Arbeitslosengeld","all-access","all-agents","daily",2015-07-25,101
"wikipedia","de","Arbeitslosengeld","all-access","all-agents","daily",2015-07-26,92
