"project","language","article","access","agent","granularity","date","views"
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-07-01,789
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-07-02,479
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-07-03,299
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-07-04,254
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-07-05,311
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-07-06,354
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-07-07,338
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-07-08,383
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-07-09,358
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-07-10,248
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-07-11,222
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-07-12,303
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-07-13,379
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-07-14,351
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-07-15,319
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-07-16,276
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-07-17,208
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-07-18,185
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-07-19,253
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-07-20,295
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-07-21,340
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-07-22,234
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-07-23,284
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-07-24,225
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-07-25,238
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-07-26,193
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-07-27,285
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-07-28,265
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-07-29,252
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-07-30,466
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-07-31,231
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-08-01,182
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-08-02,185
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-08-03,225
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-08-04,199
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-08-05,175
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-08-06,201
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-08-07,178
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-08-08,179
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-08-09,194
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-08-10,202
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-08-11,212
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-08-12,260
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-08-13,229
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-08-14,205
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-08-15,166
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-08-16,220
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-08-17,271
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-08-18,301
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-08-19,306
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-08-20,317
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-08-21,240
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-08-22,195
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-08-23,255
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-08-24,305
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-08-25,356
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-08-26,292
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-08-27,377
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-08-28,242
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-08-29,197
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-08-30,250
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-08-31,402
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-09-01,684
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-09-02,506
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-09-03,392
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-09-04,371
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-09-05,266
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-09-06,366
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-09-07,451
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-09-08,463
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-09-09,400
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-09-10,495
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-09-11,341
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-09-12,240
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-09-13,305
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-09-14,414
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-09-15,434
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-09-16,420
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-09-17,598
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-09-18,344
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-09-19,260
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-09-20,343
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-09-21,411
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-09-22,461
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-09-23,434
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-09-24,396
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-09-25,316
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-09-26,234
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-09-27,352
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-09-28,358
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-09-29,455
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-09-30,644
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-10-01,465
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-10-02,327
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-10-03,312
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-10-04,358
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-10-05,423
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-10-06,405
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-10-07,384
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-10-08,428
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-10-09,345
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-10-10,227
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-10-11,363
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-10-12,421
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-10-13,378
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-10-14,397
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-10-15,378
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-10-16,327
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-10-17,215
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-10-18,340
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-10-19,445
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-10-20,434
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-10-21,377
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-10-22,372
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-10-23,347
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-10-24,202
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-10-25,340
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-10-26,385
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-10-27,401
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-10-28,405
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-10-29,1173
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-10-30,475
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-10-31,271
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-11-01,310
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-11-02,469
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-11-03,478
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-11-04,469
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-11-05,430
"wikipedia","de","Arbeitslosenstatistik","all-access","all-agents","daily",2015-11-06,360
