"project","language","article","access","agent","granularity","date","views"
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-07-01,459
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-07-02,394
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-07-03,262
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-07-04,133
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-07-05,213
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-07-06,463
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-07-07,425
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-07-08,496
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-07-09,393
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-07-10,323
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-07-11,125
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-07-12,210
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-07-13,394
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-07-14,375
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-07-15,315
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-07-16,295
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-07-17,217
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-07-18,120
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-07-19,142
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-07-20,325
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-07-21,248
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-07-22,262
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-07-23,256
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-07-24,242
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-07-25,148
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-07-26,158
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-07-27,218
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-07-28,255
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-07-29,283
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-07-30,214
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-07-31,188
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-08-01,77
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-08-02,132
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-08-03,192
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-08-04,237
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-08-05,186
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-08-06,216
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-08-07,187
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-08-08,92
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-08-09,129
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-08-10,195
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-08-11,248
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-08-12,244
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-08-13,239
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-08-14,231
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-08-15,124
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-08-16,170
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-08-17,306
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-08-18,279
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-08-19,276
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-08-20,282
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-08-21,192
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-08-22,107
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-08-23,104
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-08-24,339
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-08-25,363
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-08-26,348
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-08-27,282
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-08-28,221
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-08-29,111
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-08-30,150
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-08-31,397
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-09-01,380
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-09-02,349
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-09-03,392
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-09-04,331
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-09-05,144
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-09-06,179
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-09-07,426
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-09-08,484
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-09-09,425
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-09-10,518
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-09-11,404
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-09-12,161
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-09-13,259
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-09-14,463
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-09-15,523
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-09-16,484
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-09-17,518
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-09-18,323
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-09-19,172
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-09-20,249
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-09-21,477
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-09-22,582
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-09-23,495
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-09-24,471
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-09-25,476
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-09-26,159
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-09-27,229
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-09-28,476
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-09-29,587
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-09-30,550
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-10-01,512
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-10-02,335
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-10-03,221
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-10-04,206
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-10-05,424
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-10-06,570
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-10-07,460
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-10-08,488
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-10-09,356
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-10-10,158
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-10-11,233
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-10-12,411
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-10-13,553
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-10-14,466
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-10-15,447
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-10-16,289
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-10-17,168
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-10-18,247
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-10-19,526
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-10-20,417
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-10-21,470
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-10-22,445
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-10-23,347
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-10-24,151
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-10-25,250
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-10-26,487
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-10-27,527
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-10-28,482
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-10-29,509
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-10-30,395
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-10-31,153
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-11-01,287
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-11-02,655
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-11-03,641
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-11-04,655
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-11-05,626
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-11-06,454
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-11-07,203
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-11-08,363
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-11-09,719
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-11-10,643
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-11-11,683
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-11-12,621
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-11-13,456
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-11-14,204
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-11-15,384
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-11-16,695
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-11-17,652
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-11-18,670
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-11-19,674
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-11-20,492
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-11-21,258
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-11-22,352
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-11-23,796
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-11-24,780
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-11-25,770
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-11-26,672
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-11-27,522
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-11-28,218
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-11-29,395
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-11-30,755
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-12-01,773
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-12-02,720
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-12-03,607
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-12-04,455
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-12-05,199
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-12-06,381
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-12-07,788
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-12-08,777
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-12-09,763
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-12-10,647
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-12-11,476
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-12-12,245
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-12-13,326
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-12-14,737
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-12-15,693
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-12-16,654
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-12-17,636
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-12-18,325
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-12-19,175
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-12-20,298
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-12-21,393
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-12-22,305
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-12-23,158
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-12-24,118
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-12-25,91
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-12-26,129
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-12-27,145
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-12-28,207
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-12-29,224
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-12-30,191
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2015-12-31,108
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2016-01-01,233
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2016-01-02,218
"wikipedia","de","Arbeitslosenversicherung","all-access","all-agents","daily",2016-01-03,265
