"project","language","article","access","agent","granularity","date","views"
"wikipedia","de","Arbeitslosigkeit","all-access","all-agents","daily",2015-07-01,306
"wikipedia","de","Arbeitslosigkeit","all-access","all-agents","daily",2015-07-02,319
"wikipedia","de","Arbeitslosigkeit","all-access","all-agents","daily",2015-07-03,204
"wikipedia","de","Arbeitslosigkeit","all-access","all-agents","daily",2015-07-04,165
"wikipedia","de","Arbeitslosigkeit","all-access","all-agents","daily",2015-07-05,181
"wikipedia","de","Arbeitslosigkeit","all-access","all-agents","daily",2015-07-06,347
"wikipedia","de","Arbeitslosigkeit","all-access","all-agents","daily",2015-07-07,282
"wikipedia","de","Arbeitslosigkeit","all-access","all-agents","daily",2015-07-08,272
"wikipedia","de","Arbeitslosigkeit","all-access","all-agents","daily",2015-07-09,201
"wikipedia","de","Arbeitslosigkeit","all-access","all-agents","daily",2015-07-10,169
"wikipedia","de","Arbeitslosigkeit","all-access","all-agents","daily",2015-07-11,163
"wikipedia","de","Arbeitslosigkeit","all-access","all-agents","daily",2015-07-12,194
"wikipedia","de","Arbeitslosigkeit","all-access","all-agents","daily",2015-07-13,255
"wikipedia","de","Arbeitslosigkeit","all-access","all-agents","daily",2015-07-14,267
"wikipedia","de","Arbeitslosigkeit","all-access","all-agents","daily",2015-07-15,234
"wikipedia","de","Arbeitslosigkeit","all-access","all-agents","daily",2015-07-16,207
"wikipedia","de","Arbeitslosigkeit","all-access","all-agents","daily",2015-07-17,166
"wikipedia","de","Arbeitslosigkeit","all-access","all-agents","daily",2015-07-18,139
"wikipedia","de","Arbeitslosigkeit","all-access","all-agents","daily",2015-07-19,173
"wikipedia","de","Arbeitslosigkeit","all-access","all-agents","daily",2015-07-20,254
"wikipedia","de","Arbeitslosigkeit","all-access","all-agents","daily",2015-07-21,212
"wikipedia","de","Arbeitslosigkeit","all-access","all-agents","daily",2015-07-22,223
"wikipedia","de","Arbeitslosigkeit","all-access","all-agents","daily",2015-07-23,160
"wikipedia","de","Arbeitslosigkeit","all-access","all-agents","daily",2015-07-24,132
"wikipedia","de","Arbeitslosigkeit","all-access","all-agents","daily",2015-07-25,145
"wikipedia","de","Arbeitslosigkeit","all-access","all-agents","daily",2015-07-26,124
"wikipedia","de","Arbeitslosigkeit","all-access","all-agents","daily",2015-07-27,164
"wikipedia","de","Arbeitslosigkeit","all-access","all-agents","daily",2015-07-28,188
"wikipedia","de","Arbeitslosigkeit","all-access","all-agents","daily",2015-07-29,174
"wikipedia","de","Arbeitslosigkeit","all-access","all-agents","daily",2015-07-30,169
"wikipedia","de","Arbeitslosigkeit","all-access","all-agents","daily",2015-07-31,110
"wikipedia","de","Arbeitslosigkeit","all-access","all-agents","daily",2015-08-01,115
"wikipedia","de","Arbeitslosigkeit","all-access","all-agents","daily",2015-08-02,93
"wikipedia","de","Arbeitslosigkeit","all-access","all-agents","daily",2015-08-03,134
"wikipedia","de","Arbeitslosigkeit","all-access","all-agents","daily",2015-08-04,145
"wikipedia","de","Arbeitslosigkeit","all-access","all-agents","daily",2015-08-05,124
"wikipedia","de","Arbeitslosigkeit","all-access","all-agents","daily",2015-08-06,125
"wikipedia","de","Arbeitslosigkeit","all-access","all-agents","daily",2015-08-07,107
"wikipedia","de","Arbeitslosigkeit","all-access","all-agents","daily",2015-08-08,134
"wikipedia","de","Arbeitslosigkeit","all-access","all-agents","daily",2015-08-09,116
"wikipedia","de","Arbeitslosigkeit","all-access","all-agents","daily",2015-08-10,145
"wikipedia","de","Arbeitslosigkeit","all-access","all-agents","daily",2015-08-11,155
"wikipedia","de","Arbeitslosigkeit","all-access","all-agents","daily",2015-08-12,137
"wikipedia","de","Arbeitslosigkeit","all-access","all-agents","daily",2015-08-13,153
"wikipedia","de","Arbeitslosigkeit","all-access","all-agents","daily",2015-08-14,106
"wikipedia","de","Arbeitslosigkeit","all-access","all-agents","daily",2015-08-15,100
"wikipedia","de","Arbeitslosigkeit","all-access","all-agents","daily",2015-08-16,149
"wikipedia","de","Arbeitslosigkeit","all-access","all-agents","daily",2015-08-17,148
"wikipedia","de","Arbeitslosigkeit","all-access","all-agents","daily",2015-08-18,160
"wikipedia","de","Arbeitslosigkeit","all-access","all-agents","daily",2015-08-19,125
"wikipedia","de","Arbeitslosigkeit","all-access","all-agents","daily",2015-08-20,143
"wikipedia","de","Arbeitslosigkeit","all-access","all-agents","daily",2015-08-21,136
"wikipedia","de","Arbeitslosigkeit","all-access","all-agents","daily",2015-08-22,110
"wikipedia","de","Arbeitslosigkeit","all-access","all-agents","daily",2015-08-23,113
"wikipedia","de","Arbeitslosigkeit","all-access","all-agents","daily",2015-08-24,210
"wikipedia","de","Arbeitslosigkeit","all-access","all-agents","daily",2015-08-25,160
"wikipedia","de","Arbeitslosigkeit","all-access","all-agents","daily",2015-08-26,191
"wikipedia","de","Arbeitslosigkeit","all-access","all-agents","daily",2015-08-27,173
"wikipedia","de","Arbeitslosigkeit","all-access","all-agents","daily",2015-08-28,161
"wikipedia","de","Arbeitslosigkeit","all-access","all-agents","daily",2015-08-29,116
"wikipedia","de","Arbeitslosigkeit","all-access","all-agents","daily",2015-08-30,130
"wikipedia","de","Arbeitslosigkeit","all-access","all-agents","daily",2015-08-31,189
