"project","language","article","access","agent","granularity","date","views"
"wikipedia","de","Arbeitsmarktpolitik","all-access","all-agents","daily",2017-07-01,21
"wikipedia","de","Arbeitsmarktpolitik","all-access","all-agents","daily",2017-07-02,27
"wikipedia","de","Arbeitsmarktpolitik","all-access","all-agents","daily",2017-07-03,57
"wikipedia","de","Arbeitsmarktpolitik","all-access","all-agents","daily",2017-07-04,37
"wikipedia","de","Arbeitsmarktpolitik","all-access","all-agents","daily",2017-07-05,35
"wikipedia","de","Arbeitsmarktpolitik","all-access","all-agents","daily",2017-07-06,30
"wikipedia","de","Arbeitsmarktpolitik","all-access","all-agents","daily",2017-07-07,39
"wikipedia","de","Arbeitsmarktpolitik","all-access","all-agents","daily",2017-07-08,22
"wikipedia","de","Arbeitsmarktpolitik","all-access","all-agents","daily",2017-07-09,20
"wikipedia","de","Arbeitsmarktpolitik","all-access","all-agents","daily",2017-07-10,33
"wikipedia","de","Arbeitsmarktpolitik","all-access","all-agents","daily",2017-07-11,46
"wikipedia","de","Arbeitsmarktpolitik","all-access","all-agents","daily",2017-07-12,41
"wikipedia","de","Arbeitsmarktpolitik","all-access","all-agents","daily",2017-07-13,30
"wikipedia","de","Arbeitsmarktpolitik","all-access","all-agents","daily",2017-07-14,29
"wikipedia","de","Arbeitsmarktpolitik","all-access","all-agents","daily",2017-07-15,23
"wikipedia","de","Arbeitsmarktpolitik","all-access","all-agents","daily",2017-07-16,36
"wikipedia","de","Arbeitsmarktpolitik","all-access","all-agents","daily",2017-07-17,35
"wikipedia","de","Arbeitsmarktpolitik","all-access","all-agents","daily",2017-07-18,36
"wikipedia","de","Arbeitsmarktpolitik","all-access","all-agents","daily",2017-07-19,42
"wikipedia","de","Arbeitsmarktpolitik","all-access","all-agents","daily",2017-07-20,28
"wikipedia","de","Arbeitsmarktpolitik","all-access","all-agents","daily",2017-07-21,27
"wikipedia","de","Arbeitsmarktpolitik","all-access","all-agents","daily",2017-07-22,23
"wikipedia","de","Arbeitsmarktpolitik","all-access","all-agents","daily",2017-07-23,34
"wikipedia","de","Arbeitsmarktpolitik","all-access","all-agents","daily",2017-07-24,34
