"project","language","article","access","agent","granularity","date","views"
"wikipedia","de","Arbeitsmarktservice","all-access","all-agents","daily",2017-07-01,16
"wikipedia","de","Arbeitsmarktservice","all-access","all-agents","daily",2017-07-02,27
"wikipedia","de","Arbeitsmarktservice","all-access","all-agents","daily",2017-07-03,60
"wikipedia","de","Arbeitsmarktservice","all-access","all-agents","daily",2017-07-04,28
"wikipedia","de","Arbeitsmarktservice","all-access","all-agents","daily",2017-07-05,30
"wikipedia","de","Arbeitsmarktservice","all-access","all-agents","daily",2017-07-06,63
"wikipedia","de","Arbeitsmarktservice","all-access","all-agents","daily",2017-07-07,74
"wikipedia","de","Arbeitsmarktservice","all-access","all-agents","daily",2017-07-08,24
"wikipedia","de","Arbeitsmarktservice","all-access","all-agents","daily",2017-07-09,21
"wikipedia","de","Arbeitsmarktservice","all-access","all-agents","daily",2017-07-10,43
"wikipedia","de","Arbeitsmarktservice","all-access","all-agents","daily",2017-07-11,32
"wikipedia","de","Arbeitsmarktservice","all-access","all-agents","daily",2017-07-12,49
"wikipedia","de","Arbeitsmarktservice","all-access","all-agents","daily",2017-07-13,40
"wikipedia","de","Arbeitsmarktservice","all-access","all-agents","daily",2017-07-14,19
"wikipedia","de","Arbeitsmarktservice","all-access","all-agents","daily",2017-07-15,16
"wikipedia","de","Arbeitsmarktservice","all-access","all-agents","daily",2017-07-16,24
"wikipedia","de","Arbeitsmarktservice","all-access","all-agents","daily",2017-07-17,38
"wikipedia","de","Arbeitsmarktservice","all-access","all-agents","daily",2017-07-18,25
"wikipedia","de","Arbeitsmarktservice","all-access","all-agents","daily",2017-07-19,26
"wikipedia","de","Arbeitsmarktservice","all-access","all-agents","daily",2017-07-20,37
"wikipedia","de","Arbeitsmarktservice","all-access","all-agents","daily",2017-07-21,28
"wikipedia","de","Arbeitsmarktservice","all-access","all-agents","daily",2017-07-22,24
"wikipedia","de","Arbeitsmarktservice","all-access","all-agents","daily",2017-07-23,22
"wikipedia","de","Arbeitsmarktservice","all-access","all-agents","daily",2017-07-24,25
"wikipedia","de","Arbeitsmarktservice","all-access","all-agents","daily",2017-07-25,44
"wikipedia","de","Arbeitsmarktservice","all-access","all-agents","daily",2017-07-26,34
"wikipedia","de","Arbeitsmarktservice","all-access","all-agents","daily",2017-07-27,30
"wikipedia","de","Arbeitsmarktservice","all-access","all-agents","daily",2017-07-28,22
"wikipedia","de","Arbeitsmarktservice","all-access","all-agents","daily",2017-07-29,28
"wikipedia","de","Arbeitsmarktservice","all-access","all-agents","daily",2017-07-30,23
"wikipedia","de","Arbeitsmarktservice","all-access","all-agents","daily",2017-07-31,32
"wikipedia","de","Arbeitsmarktservice","all-access","all-agents","daily",2017-08-01,42
"wikipedia","de","Arbeitsmarktservice","all-access","all-agents","daily",2017-08-02,30
"wikipedia","de","Arbeitsmarktservice","all-access","all-agents","daily",2017-08-03,24
"wikipedia","de","Arbeitsmarktservice","all-access","all-agents","daily",2017-08-04,28
"wikipedia","de","Arbeitsmarktservice","all-access","all-agents","daily",2017-08-05,19
"wikipedia","de","Arbeitsmarktservice","all-access","all-agents","daily",2017-08-06,23
"wikipedia","de","Arbeitsmarktservice","all-access","all-agents","daily",2017-08-07,24
