"project","language","article","access","agent","granularity","date","views"
"wikipedia","de","Aussteuerungsbetrag","all-access","all-agents","daily",2017-07-01,2
"wikipedia","de","Aussteuerungsbetrag","all-access","all-agents","daily",2017-07-02,1
"wikipedia","de","Aussteuerungsbetrag","all-access","all-agents","daily",2017-07-04,2
"wikipedia","de","Aussteuerungsbetrag","all-access","all-agents","daily",2017-07-05,2
"wikipedia","de","Aussteuerungsbetrag","all-access","all-agents","daily",2017-07-08,2
"wikipedia","de","Aussteuerungsbetrag","all-access","all-agents","daily",2017-07-10,1
"wikipedia","de","Aussteuerungsbetrag","all-access","all-agents","daily",2017-07-12,2
"wikipedia","de","Aussteuerungsbetrag","all-access","all-agents","daily",2017-07-13,1
"wikipedia","de","Aussteuerungsbetrag","all-access","all-agents","daily",2017-07-17,4
"wikipedia","de","Aussteuerungsbetrag","all-access","all-agents","daily",2017-07-19,1
"wikipedia","de","Aussteuerungsbetrag","all-access","all-agents","daily",2017-07-21,2
"wikipedia","de","Aussteuerungsbetrag","all-access","all-agents","daily",2017-07-24,2
"wikipedia","de","Aussteuerungsbetrag","all-access","all-agents","daily",2017-07-25,1
"wikipedia","de","Aussteuerungsbetrag","all-access","all-agents","daily",2017-07-26,2
"wikipedia","de","Aussteuerungsbetrag","all-access","all-agents","daily",2017-07-27,2
"wikipedia","de","Aussteuerungsbetrag","all-access","all-agents","daily",2017-07-28,3
"wikipedia","de","Aussteuerungsbetrag","all-access","all-agents","daily",2017-07-29,2
"wikipedia","de","Aussteuerungsbetrag","all-access","all-agents","daily",2017-08-01,2
"wikipedia","de","Aussteuerungsbetrag","all-access","all-agents","daily",2017-08-02,4
"wikipedia","de","Aussteuerungsbetrag","all-access","all-agents","daily",2017-08-03,2
"wikipedia","de","Aussteuerungsbetrag","all-access","all-agents","daily",2017-08-05,1
"wikipedia","de","Aussteuerungsbetrag","all-access","all-agents","daily",2017-08-06,2
"wikipedia","de","Aussteuerungsbetrag","all-access","all-agents","daily",2017-08-07,3
"wikipedia","de","Aussteuerungsbetrag","all-access","all-agents","daily",2017-08-08,4
"wikipedia","de","Aussteuerungsbetrag","all-access","all-agents","daily",2017-08-10,3
"wikipedia","de","Aussteuerungsbetrag","all-access","all-agents","daily",2017-08-12,2
"wikipedia","de","Aussteuerungsbetrag","all-access","all-agents","daily",2017-08-14,2
"wikipedia","de","Aussteuerungsbetrag","all-access","all-agents","daily",2017-08-16,2
"wikipedia","de","Aussteuerungsbetrag","all-access","all-agents","daily",2017-08-17,2
"wikipedia","de","Aussteuerungsbetrag","all-access","all-agents","daily",2017-08-19,2
"wikipedia","de","Aussteuerungsbetrag","all-access","all-agents","daily",2017-08-20,1
"wikipedia","de","Aussteuerungsbetrag","all-access","all-agents","daily",2017-08-21,3
"wikipedia","de","Aussteuerungsbetrag","all-access","all-agents","daily",2017-08-22,1
"wikipedia","de","Aussteuerungsbetrag","all-access","all-agents","daily",2017-08-23,1
"wikipedia","de","Aussteuerungsbetrag","all-access","all-agents","daily",2017-08-24,1
"wikipedia","de","Aussteuerungsbetrag","all-access","all-agents","daily",2017-08-25,1
"wikipedia","de","Aussteuerungsbetrag","all-access","all-agents","daily",2017-08-26,3
"wikipedia","de","Aussteuerungsbetrag","all-access","all-agents","daily",2017-08-28,1
"wikipedia","de","Aussteuerungsbetrag","all-access","all-agents","daily",2017-08-29,4
"wikipedia","de","Aussteuerungsbetrag","all-access","all-agents","daily",2017-08-30,2
"wikipedia","de","Aussteuerungsbetrag","all-access","all-agents","daily",2017-08-31,1
"wikipedia","de","Aussteuerungsbetrag","all-access","all-agents","daily",2017-09-02,3
"wikipedia","de","Aussteuerungsbetrag","all-access","all-agents","daily",2017-09-05,3
"wikipedia","de","Aussteuerungsbetrag","all-access","all-agents","daily",2017-09-06,5
"wikipedia","de","Aussteuerungsbetrag","all-access","all-agents","daily",2017-09-09,2
"wikipedia","de","Aussteuerungsbetrag","all-access","all-agents","daily",2017-09-10,2
"wikipedia","de","Aussteuerungsbetrag","all-access","all-agents","daily",2017-09-11,2
"wikipedia","de","Aussteuerungsbetrag","all-access","all-agents","daily",2017-09-12,2
"wikipedia","de","Aussteuerungsbetrag","all-access","all-agents","daily",2017-09-13,3
"wikipedia","de","Aussteuerungsbetrag","all-access","all-agents","daily",2017-09-14,1
"wikipedia","de","Aussteuerungsbetrag","all-access","all-agents","daily",2017-09-15,2
"wikipedia","de","Aussteuerungsbetrag","all-access","all-agents","daily",2017-09-17,3
"wikipedia","de","Aussteuerungsbetrag","all-access","all-agents","daily",2017-09-18,4
"wikipedia","de","Aussteuerungsbetrag","all-access","all-agents","daily",2017-09-19,1
"wikipedia","de","Aussteuerungsbetrag","all-access","all-agents","daily",2017-09-20,1
"wikipedia","de","Aussteuerungsbetrag","all-access","all-agents","daily",2017-09-22,1
"wikipedia","de","Aussteuerungsbetrag","all-access","all-agents","daily",2017-09-24,1
"wikipedia","de","Aussteuerungsbetrag","all-access","all-agents","daily",2017-09-25,2
"wikipedia","de","Aussteuerungsbetrag","all-access","all-agents","daily",2017-09-26,2
"wikipedia","de","Aussteuerungsbetrag","all-access","all-agents","daily",2017-09-27,2
