"project","language","article","access","agent","granularity","date","views"
"wikipedia","de","Beveridge-Kurve","all-access","all-agents","daily",2017-07-01,9
"wikipedia","de","Beveridge-Kurve","all-access","all-agents","daily",2017-07-02,14
"wikipedia","de","Beveridge-Kurve","all-access","all-agents","daily",2017-07-03,18
"wikipedia","de","Beveridge-Kurve","all-access","all-agents","daily",2017-07-04,19
"wikipedia","de","Beveridge-Kurve","all-access","all-agents","daily",2017-07-05,21
"wikipedia","de","Beveridge-Kurve","all-access","all-agents","daily",2017-07-06,15
"wikipedia","de","Beveridge-Kurve","all-access","all-agents","daily",2017-07-07,13
"wikipedia","de","Beveridge-Kurve","all-access","all-agents","daily",2017-07-08,17
"wikipedia","de","Beveridge-Kurve","all-access","all-agents","daily",2017-07-09,23
"wikipedia","de","Beveridge-Kurve","all-access","all-agents","daily",2017-07-10,32
"wikipedia","de","Beveridge-Kurve","all-access","all-agents","daily",2017-07-11,38
"wikipedia","de","Beveridge-Kurve","all-access","all-agents","daily",2017-07-12,27
"wikipedia","de","Beveridge-Kurve","all-access","all-agents","daily",2017-07-13,18
"wikipedia","de","Beveridge-Kurve","all-access","all-agents","daily",2017-07-14,13
"wikipedia","de","Beveridge-Kurve","all-access","all-agents","daily",2017-07-15,16
"wikipedia","de","Beveridge-Kurve","all-access","all-agents","daily",2017-07-16,16
"wikipedia","de","Beveridge-Kurve","all-access","all-agents","daily",2017-07-17,24
"wikipedia","de","Beveridge-Kurve","all-access","all-agents","daily",2017-07-18,27
"wikipedia","de","Beveridge-Kurve","all-access","all-agents","daily",2017-07-19,24
"wikipedia","de","Beveridge-Kurve","all-access","all-agents","daily",2017-07-20,27
"wikipedia","de","Beveridge-Kurve","all-access","all-agents","daily",2017-07-21,35
"wikipedia","de","Beveridge-Kurve","all-access","all-agents","daily",2017-07-22,21
"wikipedia","de","Beveridge-Kurve","all-access","all-agents","daily",2017-07-23,32
"wikipedia","de","Beveridge-Kurve","all-access","all-agents","daily",2017-07-24,19
"wikipedia","de","Beveridge-Kurve","all-access","all-agents","daily",2017-07-25,30
"wikipedia","de","Beveridge-Kurve","all-access","all-agents","daily",2017-07-26,38
"wikipedia","de","Beveridge-Kurve","all-access","all-agents","daily",2017-07-27,33
"wikipedia","de","Beveridge-Kurve","all-access","all-agents","daily",2017-07-28,23
"wikipedia","de","Beveridge-Kurve","all-access","all-agents","daily",2017-07-29,30
"wikipedia","de","Beveridge-Kurve","all-access","all-agents","daily",2017-07-30,33
"wikipedia","de","Beveridge-Kurve","all-access","all-agents","daily",2017-07-31,24
"wikipedia","de","Beveridge-Kurve","all-access","all-agents","daily",2017-08-01,18
"wikipedia","de","Beveridge-Kurve","all-access","all-agents","daily",2017-08-02,15
"wikipedia","de","Beveridge-Kurve","all-access","all-agents","daily",2017-08-03,38
"wikipedia","de","Beveridge-Kurve","all-access","all-agents","daily",2017-08-04,32
"wikipedia","de","Beveridge-Kurve","all-access","all-agents","daily",2017-08-05,18
"wikipedia","de","Beveridge-Kurve","all-access","all-agents","daily",2017-08-06,18
"wikipedia","de","Beveridge-Kurve","all-access","all-agents","daily",2017-08-07,22
"wikipedia","de","Beveridge-Kurve","all-access","all-agents","daily",2017-08-08,18
"wikipedia","de","Beveridge-Kurve","all-access","all-agents","daily",2017-08-09,19
"wikipedia","de","Beveridge-Kurve","all-access","all-agents","daily",2017-08-10,7
"wikipedia","de","Beveridge-Kurve","all-access","all-agents","daily",2017-08-11,9
"wikipedia","de","Beveridge-Kurve","all-access","all-agents","daily",2017-08-12,5
"wikipedia","de","Beveridge-Kurve","all-access","all-agents","daily",2017-08-13,13
"wikipedia","de","Beveridge-Kurve","all-access","all-agents","daily",2017-08-14,5
"wikipedia","de","Beveridge-Kurve","all-access","all-agents","daily",2017-08-15,9
"wikipedia","de","Beveridge-Kurve","all-access","all-agents","daily",2017-08-16,5
"wikipedia","de","Beveridge-Kurve","all-access","all-agents","daily",2017-08-17,10
"wikipedia","de","Beveridge-Kurve","all-access","all-agents","daily",2017-08-18,10
"wikipedia","de","Beveridge-Kurve","all-access","all-agents","daily",2017-08-19,6
"wikipedia","de","Beveridge-Kurve","all-access","all-agents","daily",2017-08-20,2
"wikipedia","de","Beveridge-Kurve","all-access","all-agents","daily",2017-08-21,16
"wikipedia","de","Beveridge-Kurve","all-access","all-agents","daily",2017-08-22,11
"wikipedia","de","Beveridge-Kurve","all-access","all-agents","daily",2017-08-23,12
