"project","language","article","access","agent","granularity","date","views"
"wikipedia","de","Camorra","all-access","all-agents","daily",2015-07-01,220
"wikipedia","de","Camorra","all-access","all-agents","daily",2015-07-02,159
"wikipedia","de","Camorra","all-access","all-agents","daily",2015-07-03,126
"wikipedia","de","Camorra","all-access","all-agents","daily",2015-07-04,214
"wikipedia","de","Camorra","all-access","all-agents","daily",2015-07-05,281
"wikipedia","de","Camorra","all-access","all-agents","daily",2015-07-06,195
"wikipedia","de","Camorra","all-access","all-agents","daily",2015-07-07,295
"wikipedia","de","Camorra","all-access","all-agents","daily",2015-07-08,309
"wikipedia","de","Camorra","all-access","all-agents","daily",2015-07-09,257
"wikipedia","de","Camorra","all-access","all-agents","daily",2015-07-10,255
"wikipedia","de","Camorra","all-access","all-agents","daily",2015-07-11,132
"wikipedia","de","Camorra","all-access","all-agents","daily",2015-07-12,233
"wikipedia","de","Camorra","all-access","all-agents","daily",2015-07-13,241
"wikipedia","de","Camorra","all-access","all-agents","daily",2015-07-14,221
"wikipedia","de","Camorra","all-access","all-agents","daily",2015-07-15,209
"wikipedia","de","Camorra","all-access","all-agents","daily",2015-07-16,204
"wikipedia","de","Camorra","all-access","all-agents","daily",2015-07-17,179
"wikipedia","de","Camorra","all-access","all-agents","daily",2015-07-18,217
"wikipedia","de","Camorra","all-access","all-agents","daily",2015-07-19,274
"wikipedia","de","Camorra","all-access","all-agents","daily",2015-07-20,297
"wikipedia","de","Camorra","all-access","all-agents","daily",2015-07-21,230
"wikipedia","de","Camorra","all-access","all-agents","daily",2015-07-22,170
"wikipedia","de","Camorra","all-access","all-agents","daily",2015-07-23,204
"wikipedia","de","Camorra","all-access","all-agents","daily",2015-07-24,153
"wikipedia","de","Camorra","all-access","all-agents","daily",2015-07-25,175
"wikipedia","de","Camorra","all-access","all-agents","daily",2015-07-26,187
"wikipedia","de","Camorra","all-access","all-agents","daily",2015-07-27,185
"wikipedia","de","Camorra","all-access","all-agents","daily",2015-07-28,209
"wikipedia","de","Camorra","all-access","all-agents","daily",2015-07-29,227
