"project","language","article","access","agent","granularity","date","views"
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-07-01,15
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-07-02,30
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-07-03,17
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-07-04,17
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-07-05,22
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-07-06,24
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-07-07,24
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-07-08,20
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-07-09,22
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-07-10,34
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-07-11,25
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-07-12,39
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-07-13,30
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-07-14,23
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-07-15,19
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-07-16,25
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-07-17,23
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-07-18,30
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-07-19,19
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-07-20,19
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-07-21,19
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-07-22,14
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-07-23,27
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-07-24,17
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-07-25,33
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-07-26,19
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-07-27,28
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-07-28,24
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-07-29,16
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-07-30,19
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-07-31,25
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-08-01,20
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-08-02,23
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-08-03,17
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-08-04,32
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-08-05,34
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-08-06,38
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-08-07,11
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-08-08,23
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-08-09,24
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-08-10,24
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-08-11,15
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-08-12,10
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-08-13,19
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-08-14,11
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-08-15,19
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-08-16,11
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-08-17,12
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-08-18,14
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-08-19,10
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-08-20,7
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-08-21,12
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-08-22,18
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-08-23,10
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-08-24,6
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-08-25,5
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-08-26,8
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-08-27,7
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-08-28,8
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-08-29,17
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-08-30,8
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-08-31,10
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-09-01,12
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-09-02,11
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-09-03,15
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-09-04,17
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-09-05,12
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-09-06,16
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-09-07,8
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-09-08,17
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-09-09,20
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-09-10,13
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-09-11,15
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-09-12,8
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-09-13,13
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-09-14,18
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-09-15,11
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-09-16,12
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-09-17,11
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-09-18,15
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-09-19,18
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-09-20,17
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-09-21,10
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-09-22,6
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-09-23,10
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-09-24,4
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-09-25,12
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-09-26,21
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-09-27,12
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-09-28,21
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-09-29,12
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-09-30,16
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-10-01,9
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-10-02,17
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-10-03,24
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-10-04,26
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-10-05,12
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-10-06,13
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-10-07,20
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-10-08,18
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-10-09,54
"wikipedia","de","Effizienzlohn","all-access","all-agents","daily",2017-10-10,35
