"project","language","article","access","agent","granularity","date","views"
"wikipedia","de","Effizienzlohntheorie","all-access","all-agents","daily",2017-07-01,16
"wikipedia","de","Effizienzlohntheorie","all-access","all-agents","daily",2017-07-02,15
"wikipedia","de","Effizienzlohntheorie","all-access","all-agents","daily",2017-07-03,12
"wikipedia","de","Effizienzlohntheorie","all-access","all-agents","daily",2017-07-04,29
"wikipedia","de","Effizienzlohntheorie","all-access","all-agents","daily",2017-07-05,17
"wikipedia","de","Effizienzlohntheorie","all-access","all-agents","daily",2017-07-06,16
"wikipedia","de","Effizienzlohntheorie","all-access","all-agents","daily",2017-07-07,18
"wikipedia","de","Effizienzlohntheorie","all-access","all-agents","daily",2017-07-08,17
"wikipedia","de","Effizienzlohntheorie","all-access","all-agents","daily",2017-07-09,20
"wikipedia","de","Effizienzlohntheorie","all-access","all-agents","daily",2017-07-10,24
"wikipedia","de","Effizienzlohntheorie","all-access","all-agents","daily",2017-07-11,31
"wikipedia","de","Effizienzlohntheorie","all-access","all-agents","daily",2017-07-12,29
"wikipedia","de","Effizienzlohntheorie","all-access","all-agents","daily",2017-07-13,11
"wikipedia","de","Effizienzlohntheorie","all-access","all-agents","daily",2017-07-14,23
"wikipedia","de","Effizienzlohntheorie","all-access","all-agents","daily",2017-07-15,15
"wikipedia","de","Effizienzlohntheorie","all-access","all-agents","daily",2017-07-16,21
"wikipedia","de","Effizienzlohntheorie","all-access","all-agents","daily",2017-07-17,16
"wikipedia","de","Effizienzlohntheorie","all-access","all-agents","daily",2017-07-18,23
"wikipedia","de","Effizienzlohntheorie","all-access","all-agents","daily",2017-07-19,19
"wikipedia","de","Effizienzlohntheorie","all-access","all-agents","daily",2017-07-20,23
"wikipedia","de","Effizienzlohntheorie","all-access","all-agents","daily",2017-07-21,19
"wikipedia","de","Effizienzlohntheorie","all-access","all-agents","daily",2017-07-22,14
"wikipedia","de","Effizienzlohntheorie","all-access","all-agents","daily",2017-07-23,24
"wikipedia","de","Effizienzlohntheorie","all-access","all-agents","daily",2017-07-24,17
"wikipedia","de","Effizienzlohntheorie","all-access","all-agents","daily",2017-07-25,36
"wikipedia","de","Effizienzlohntheorie","all-access","all-agents","daily",2017-07-26,26
"wikipedia","de","Effizienzlohntheorie","all-access","all-agents","daily",2017-07-27,23
"wikipedia","de","Effizienzlohntheorie","all-access","all-agents","daily",2017-07-28,20
"wikipedia","de","Effizienzlohntheorie","all-access","all-agents","daily",2017-07-29,11
"wikipedia","de","Effizienzlohntheorie","all-access","all-agents","daily",2017-07-30,20
"wikipedia","de","Effizienzlohntheorie","all-access","all-agents","daily",2017-07-31,14
"wikipedia","de","Effizienzlohntheorie","all-access","all-agents","daily",2017-08-01,17
"wikipedia","de","Effizienzlohntheorie","all-access","all-agents","daily",2017-08-02,15
"wikipedia","de","Effizienzlohntheorie","all-access","all-agents","daily",2017-08-03,11
