"project","language","article","access","agent","granularity","date","views"
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-07-01,45
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-07-02,60
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-07-03,24
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-07-04,18
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-07-05,22
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-07-06,47
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-07-07,41
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-07-08,53
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-07-09,58
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-07-10,37
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-07-11,29
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-07-12,27
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-07-13,54
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-07-14,51
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-07-15,51
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-07-16,56
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-07-17,41
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-07-18,31
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-07-19,50
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-07-20,61
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-07-21,54
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-07-22,62
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-07-23,46
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-07-24,49
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-07-25,23
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-07-26,33
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-07-27,61
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-07-28,51
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-07-29,55
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-07-30,50
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-07-31,39
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-08-01,26
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-08-02,29
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-08-03,50
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-08-04,65
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-08-05,56
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-08-06,60
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-08-07,54
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-08-08,29
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-08-09,36
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-08-10,42
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-08-11,45
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-08-12,53
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-08-13,50
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-08-14,44
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-08-15,25
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-08-16,40
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-08-17,54
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-08-18,65
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-08-19,50
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-08-20,52
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-08-21,42
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-08-22,26
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-08-23,25
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-08-24,56
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-08-25,51
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-08-26,59
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-08-27,57
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-08-28,39
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-08-29,36
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-08-30,28
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-08-31,52
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-09-01,61
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-09-02,61
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-09-03,61
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-09-04,28
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-09-05,31
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-09-06,20
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-09-07,56
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-09-08,46
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-09-09,42
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-09-10,50
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-09-11,48
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-09-12,27
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-09-13,37
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-09-14,41
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-09-15,53
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-09-16,65
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-09-17,68
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-09-18,46
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-09-19,36
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-09-20,29
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-09-21,90
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-09-22,65
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-09-23,84
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-09-24,82
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-09-25,45
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-09-26,41
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-09-27,39
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-09-28,83
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-09-29,83
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-09-30,62
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-10-01,71
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-10-02,56
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-10-03,44
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-10-04,48
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-10-05,58
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-10-06,61
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-10-07,56
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-10-08,61
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-10-09,39
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-10-10,36
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-10-11,37
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-10-12,64
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-10-13,68
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-10-14,47
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-10-15,61
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-10-16,39
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-10-17,29
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-10-18,34
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-10-19,47
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-10-20,59
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-10-21,74
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-10-22,68
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-10-23,35
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-10-24,41
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-10-25,37
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-10-26,46
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-10-27,55
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-10-28,69
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-10-29,57
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-10-30,59
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-10-31,27
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-11-01,43
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-11-02,55
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-11-03,69
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-11-04,73
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-11-05,48
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-11-06,46
"wikipedia","de","Einstiegsgeld","all-access","all-agents","daily",2015-11-07,26
