"project","language","article","access","agent","granularity","date","views"
"wikipedia","de","Erreichbarkeitsanordnung","all-access","all-agents","daily",2017-07-01,27
"wikipedia","de","Erreichbarkeitsanordnung","all-access","all-agents","daily",2017-07-02,44
"wikipedia","de","Erreichbarkeitsanordnung","all-access","all-agents","daily",2017-07-03,62
"wikipedia","de","Erreichbarkeitsanordnung","all-access","all-agents","daily",2017-07-04,82
"wikipedia","de","Erreichbarkeitsanordnung","all-access","all-agents","daily",2017-07-05,71
"wikipedia","de","Erreichbarkeitsanordnung","all-access","all-agents","daily",2017-07-06,68
"wikipedia","de","Erreichbarkeitsanordnung","all-access","all-agents","daily",2017-07-07,51
"wikipedia","de","Erreichbarkeitsanordnung","all-access","all-agents","daily",2017-07-08,28
"wikipedia","de","Erreichbarkeitsanordnung","all-access","all-agents","daily",2017-07-09,25
"wikipedia","de","Erreichbarkeitsanordnung","all-access","all-agents","daily",2017-07-10,70
"wikipedia","de","Erreichbarkeitsanordnung","all-access","all-agents","daily",2017-07-11,96
"wikipedia","de","Erreichbarkeitsanordnung","all-access","all-agents","daily",2017-07-12,74
"wikipedia","de","Erreichbarkeitsanordnung","all-access","all-agents","daily",2017-07-13,78
"wikipedia","de","Erreichbarkeitsanordnung","all-access","all-agents","daily",2017-07-14,83
"wikipedia","de","Erreichbarkeitsanordnung","all-access","all-agents","daily",2017-07-15,26
"wikipedia","de","Erreichbarkeitsanordnung","all-access","all-agents","daily",2017-07-16,39
"wikipedia","de","Erreichbarkeitsanordnung","all-access","all-agents","daily",2017-07-17,68
"wikipedia","de","Erreichbarkeitsanordnung","all-access","all-agents","daily",2017-07-18,90
"wikipedia","de","Erreichbarkeitsanordnung","all-access","all-agents","daily",2017-07-19,73
"wikipedia","de","Erreichbarkeitsanordnung","all-access","all-agents","daily",2017-07-20,75
"wikipedia","de","Erreichbarkeitsanordnung","all-access","all-agents","daily",2017-07-21,49
"wikipedia","de","Erreichbarkeitsanordnung","all-access","all-agents","daily",2017-07-22,27
"wikipedia","de","Erreichbarkeitsanordnung","all-access","all-agents","daily",2017-07-23,24
"wikipedia","de","Erreichbarkeitsanordnung","all-access","all-agents","daily",2017-07-24,61
"wikipedia","de","Erreichbarkeitsanordnung","all-access","all-agents","daily",2017-07-25,88
"wikipedia","de","Erreichbarkeitsanordnung","all-access","all-agents","daily",2017-07-26,84
"wikipedia","de","Erreichbarkeitsanordnung","all-access","all-agents","daily",2017-07-27,79
"wikipedia","de","Erreichbarkeitsanordnung","all-access","all-agents","daily",2017-07-28,68
"wikipedia","de","Erreichbarkeitsanordnung","all-access","all-agents","daily",2017-07-29,34
"wikipedia","de","Erreichbarkeitsanordnung","all-access","all-agents","daily",2017-07-30,43
"wikipedia","de","Erreichbarkeitsanordnung","all-access","all-agents","daily",2017-07-31,63
"wikipedia","de","Erreichbarkeitsanordnung","all-access","all-agents","daily",2017-08-01,1494
"wikipedia","de","Erreichbarkeitsanordnung","all-access","all-agents","daily",2017-08-02,85
"wikipedia","de","Erreichbarkeitsanordnung","all-access","all-agents","daily",2017-08-03,237
"wikipedia","de","Erreichbarkeitsanordnung","all-access","all-agents","daily",2017-08-04,62
"wikipedia","de","Erreichbarkeitsanordnung","all-access","all-agents","daily",2017-08-05,33
"wikipedia","de","Erreichbarkeitsanordnung","all-access","all-agents","daily",2017-08-06,52
"wikipedia","de","Erreichbarkeitsanordnung","all-access","all-agents","daily",2017-08-07,79
"wikipedia","de","Erreichbarkeitsanordnung","all-access","all-agents","daily",2017-08-08,70
"wikipedia","de","Erreichbarkeitsanordnung","all-access","all-agents","daily",2017-08-09,93
"wikipedia","de","Erreichbarkeitsanordnung","all-access","all-agents","daily",2017-08-10,104
"wikipedia","de","Erreichbarkeitsanordnung","all-access","all-agents","daily",2017-08-11,58
"wikipedia","de","Erreichbarkeitsanordnung","all-access","all-agents","daily",2017-08-12,23
"wikipedia","de","Erreichbarkeitsanordnung","all-access","all-agents","daily",2017-08-13,29
"wikipedia","de","Erreichbarkeitsanordnung","all-access","all-agents","daily",2017-08-14,56
"wikipedia","de","Erreichbarkeitsanordnung","all-access","all-agents","daily",2017-08-15,69
"wikipedia","de","Erreichbarkeitsanordnung","all-access","all-agents","daily",2017-08-16,69
"wikipedia","de","Erreichbarkeitsanordnung","all-access","all-agents","daily",2017-08-17,80
"wikipedia","de","Erreichbarkeitsanordnung","all-access","all-agents","daily",2017-08-18,65
"wikipedia","de","Erreichbarkeitsanordnung","all-access","all-agents","daily",2017-08-19,29
"wikipedia","de","Erreichbarkeitsanordnung","all-access","all-agents","daily",2017-08-20,27
"wikipedia","de","Erreichbarkeitsanordnung","all-access","all-agents","daily",2017-08-21,55
"wikipedia","de","Erreichbarkeitsanordnung","all-access","all-agents","daily",2017-08-22,65
"wikipedia","de","Erreichbarkeitsanordnung","all-access","all-agents","daily",2017-08-23,58
"wikipedia","de","Erreichbarkeitsanordnung","all-access","all-agents","daily",2017-08-24,72
"wikipedia","de","Erreichbarkeitsanordnung","all-access","all-agents","daily",2017-08-25,58
"wikipedia","de","Erreichbarkeitsanordnung","all-access","all-agents","daily",2017-08-26,29
"wikipedia","de","Erreichbarkeitsanordnung","all-access","all-agents","daily",2017-08-27,42
"wikipedia","de","Erreichbarkeitsanordnung","all-access","all-agents","daily",2017-08-28,88
"wikipedia","de","Erreichbarkeitsanordnung","all-access","all-agents","daily",2017-08-29,92
"wikipedia","de","Erreichbarkeitsanordnung","all-access","all-agents","daily",2017-08-30,67
"wikipedia","de","Erreichbarkeitsanordnung","all-access","all-agents","daily",2017-08-31,70
"wikipedia","de","Erreichbarkeitsanordnung","all-access","all-agents","daily",2017-09-01,48
"wikipedia","de","Erreichbarkeitsanordnung","all-access","all-agents","daily",2017-09-02,26
"wikipedia","de","Erreichbarkeitsanordnung","all-access","all-agents","daily",2017-09-03,23
"wikipedia","de","Erreichbarkeitsanordnung","all-access","all-agents","daily",2017-09-04,64
"wikipedia","de","Erreichbarkeitsanordnung","all-access","all-agents","daily",2017-09-05,52
"wikipedia","de","Erreichbarkeitsanordnung","all-access","all-agents","daily",2017-09-06,46
