"project","language","article","access","agent","granularity","date","views"
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-07-01,10
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-07-02,33
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-07-03,26
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-07-04,36
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-07-05,31
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-07-06,18
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-07-07,25
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-07-08,24
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-07-09,18
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-07-10,28
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-07-11,32
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-07-12,61
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-07-13,19
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-07-14,20
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-07-15,7
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-07-16,22
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-07-17,22
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-07-18,28
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-07-19,19
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-07-20,19
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-07-21,15
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-07-22,13
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-07-23,29
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-07-24,33
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-07-25,24
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-07-26,19
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-07-27,19
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-07-28,28
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-07-29,10
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-07-30,13
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-07-31,26
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-08-01,34
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-08-02,24
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-08-03,26
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-08-04,28
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-08-05,17
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-08-06,17
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-08-07,23
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-08-08,49
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-08-09,30
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-08-10,17
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-08-11,21
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-08-12,20
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-08-13,17
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-08-14,24
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-08-15,25
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-08-16,26
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-08-17,25
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-08-18,19
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-08-19,10
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-08-20,19
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-08-21,21
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-08-22,22
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-08-23,11
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-08-24,17
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-08-25,16
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-08-26,14
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-08-27,18
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-08-28,28
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-08-29,28
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-08-30,23
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-08-31,36
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-09-01,17
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-09-02,16
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-09-03,12
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-09-04,33
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-09-05,35
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-09-06,27
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-09-07,31
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-09-08,23
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-09-09,14
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-09-10,27
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-09-11,30
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-09-12,35
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-09-13,36
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-09-14,19
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-09-15,25
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-09-16,18
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-09-17,27
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-09-18,33
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-09-19,23
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-09-20,31
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-09-21,34
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-09-22,28
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-09-23,14
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-09-24,19
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-09-25,36
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-09-26,38
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-09-27,34
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-09-28,38
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-09-29,32
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-09-30,15
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-10-01,14
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-10-02,34
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-10-03,38
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-10-04,42
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-10-05,31
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-10-06,27
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-10-07,20
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-10-08,23
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-10-09,28
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-10-10,42
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-10-11,41
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-10-12,31
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-10-13,21
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-10-14,18
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-10-15,23
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-10-16,25
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-10-17,38
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-10-18,48
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-10-19,32
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-10-20,12
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-10-21,29
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-10-22,31
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-10-23,66
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-10-24,30
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-10-25,30
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-10-26,31
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-10-27,22
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-10-28,15
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-10-29,29
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-10-30,31
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-10-31,26
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-11-01,39
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-11-02,42
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-11-03,25
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-11-04,17
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-11-05,24
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-11-06,48
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-11-07,47
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-11-08,47
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-11-09,32
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-11-10,26
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-11-11,26
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-11-12,26
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-11-13,37
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-11-14,44
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-11-15,53
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-11-16,60
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-11-17,46
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-11-18,16
"wikipedia","de","Erwerbslosigkeit","all-access","all-agents","daily",2017-11-19,34
