"project","language","article","access","agent","granularity","date","views"
"wikipedia","de","Hartz-Konzept","all-access","all-agents","daily",2015-07-01,291
"wikipedia","de","Hartz-Konzept","all-access","all-agents","daily",2015-07-02,321
"wikipedia","de","Hartz-Konzept","all-access","all-agents","daily",2015-07-03,260
"wikipedia","de","Hartz-Konzept","all-access","all-agents","daily",2015-07-04,181
"wikipedia","de","Hartz-Konzept","all-access","all-agents","daily",2015-07-05,253
"wikipedia","de","Hartz-Konzept","all-access","all-agents","daily",2015-07-06,293
"wikipedia","de","Hartz-Konzept","all-access","all-agents","daily",2015-07-07,349
"wikipedia","de","Hartz-Konzept","all-access","all-agents","daily",2015-07-08,346
"wikipedia","de","Hartz-Konzept","all-access","all-agents","daily",2015-07-09,350
"wikipedia","de","Hartz-Konzept","all-access","all-agents","daily",2015-07-10,252
"wikipedia","de","Hartz-Konzept","all-access","all-agents","daily",2015-07-11,224
"wikipedia","de","Hartz-Konzept","all-access","all-agents","daily",2015-07-12,256
"wikipedia","de","Hartz-Konzept","all-access","all-agents","daily",2015-07-13,367
"wikipedia","de","Hartz-Konzept","all-access","all-agents","daily",2015-07-14,295
"wikipedia","de","Hartz-Konzept","all-access","all-agents","daily",2015-07-15,258
"wikipedia","de","Hartz-Konzept","all-access","all-agents","daily",2015-07-16,275
"wikipedia","de","Hartz-Konzept","all-access","all-agents","daily",2015-07-17,210
"wikipedia","de","Hartz-Konzept","all-access","all-agents","daily",2015-07-18,263
"wikipedia","de","Hartz-Konzept","all-access","all-agents","daily",2015-07-19,232
"wikipedia","de","Hartz-Konzept","all-access","all-agents","daily",2015-07-20,224
"wikipedia","de","Hartz-Konzept","all-access","all-agents","daily",2015-07-21,290
"wikipedia","de","Hartz-Konzept","all-access","all-agents","daily",2015-07-22,259
"wikipedia","de","Hartz-Konzept","all-access","all-agents","daily",2015-07-23,191
"wikipedia","de","Hartz-Konzept","all-access","all-agents","daily",2015-07-24,268
"wikipedia","de","Hartz-Konzept","all-access","all-agents","daily",2015-07-25,1003
"wikipedia","de","Hartz-Konzept","all-access","all-agents","daily",2015-07-26,562
"wikipedia","de","Hartz-Konzept","all-access","all-agents","daily",2015-07-27,446
"wikipedia","de","Hartz-Konzept","all-access","all-agents","daily",2015-07-28,345
"wikipedia","de","Hartz-Konzept","all-access","all-agents","daily",2015-07-29,479
"wikipedia","de","Hartz-Konzept","all-access","all-agents","daily",2015-07-30,344
"wikipedia","de","Hartz-Konzept","all-access","all-agents","daily",2015-07-31,267
"wikipedia","de","Hartz-Konzept","all-access","all-agents","daily",2015-08-01,190
"wikipedia","de","Hartz-Konzept","all-access","all-agents","daily",2015-08-02,176
"wikipedia","de","Hartz-Konzept","all-access","all-agents","daily",2015-08-03,194
"wikipedia","de","Hartz-Konzept","all-access","all-agents","daily",2015-08-04,233
"wikipedia","de","Hartz-Konzept","all-access","all-agents","daily",2015-08-05,202
"wikipedia","de","Hartz-Konzept","all-access","all-agents","daily",2015-08-06,218
"wikipedia","de","Hartz-Konzept","all-access","all-agents","daily",2015-08-07,188
"wikipedia","de","Hartz-Konzept","all-access","all-agents","daily",2015-08-08,192
"wikipedia","de","Hartz-Konzept","all-access","all-agents","daily",2015-08-09,391
"wikipedia","de","Hartz-Konzept","all-access","all-agents","daily",2015-08-10,213
"wikipedia","de","Hartz-Konzept","all-access","all-agents","daily",2015-08-11,221
