"project","language","article","access","agent","granularity","date","views"
"wikipedia","de","Jugendarbeitslosigkeit","all-access","all-agents","daily",2017-07-01,22
"wikipedia","de","Jugendarbeitslosigkeit","all-access","all-agents","daily",2017-07-02,17
"wikipedia","de","Jugendarbeitslosigkeit","all-access","all-agents","daily",2017-07-03,17
"wikipedia","de","Jugendarbeitslosigkeit","all-access","all-agents","daily",2017-07-04,30
"wikipedia","de","Jugendarbeitslosigkeit","all-access","all-agents","daily",2017-07-05,35
"wikipedia","de","Jugendarbeitslosigkeit","all-access","all-agents","daily",2017-07-06,22
"wikipedia","de","Jugendarbeitslosigkeit","all-access","all-agents","daily",2017-07-07,14
"wikipedia","de","Jugendarbeitslosigkeit","all-access","all-agents","daily",2017-07-08,18
"wikipedia","de","Jugendarbeitslosigkeit","all-access","all-agents","daily",2017-07-09,19
"wikipedia","de","Jugendarbeitslosigkeit","all-access","all-agents","daily",2017-07-10,22
"wikipedia","de","Jugendarbeitslosigkeit","all-access","all-agents","daily",2017-07-11,14
"wikipedia","de","Jugendarbeitslosigkeit","all-access","all-agents","daily",2017-07-12,21
"wikipedia","de","Jugendarbeitslosigkeit","all-access","all-agents","daily",2017-07-13,19
"wikipedia","de","Jugendarbeitslosigkeit","all-access","all-agents","daily",2017-07-14,12
"wikipedia","de","Jugendarbeitslosigkeit","all-access","all-agents","daily",2017-07-15,17
"wikipedia","de","Jugendarbeitslosigkeit","all-access","all-agents","daily",2017-07-16,11
"wikipedia","de","Jugendarbeitslosigkeit","all-access","all-agents","daily",2017-07-17,21
"wikipedia","de","Jugendarbeitslosigkeit","all-access","all-agents","daily",2017-07-18,17
"wikipedia","de","Jugendarbeitslosigkeit","all-access","all-agents","daily",2017-07-19,18
"wikipedia","de","Jugendarbeitslosigkeit","all-access","all-agents","daily",2017-07-20,11
"wikipedia","de","Jugendarbeitslosigkeit","all-access","all-agents","daily",2017-07-21,14
"wikipedia","de","Jugendarbeitslosigkeit","all-access","all-agents","daily",2017-07-22,13
"wikipedia","de","Jugendarbeitslosigkeit","all-access","all-agents","daily",2017-07-23,20
"wikipedia","de","Jugendarbeitslosigkeit","all-access","all-agents","daily",2017-07-24,24
"wikipedia","de","Jugendarbeitslosigkeit","all-access","all-agents","daily",2017-07-25,18
"wikipedia","de","Jugendarbeitslosigkeit","all-access","all-agents","daily",2017-07-26,25
"wikipedia","de","Jugendarbeitslosigkeit","all-access","all-agents","daily",2017-07-27,16
"wikipedia","de","Jugendarbeitslosigkeit","all-access","all-agents","daily",2017-07-28,8
"wikipedia","de","Jugendarbeitslosigkeit","all-access","all-agents","daily",2017-07-29,11
"wikipedia","de","Jugendarbeitslosigkeit","all-access","all-agents","daily",2017-07-30,8
"wikipedia","de","Jugendarbeitslosigkeit","all-access","all-agents","daily",2017-07-31,19
"wikipedia","de","Jugendarbeitslosigkeit","all-access","all-agents","daily",2017-08-01,15
"wikipedia","de","Jugendarbeitslosigkeit","all-access","all-agents","daily",2017-08-02,12
"wikipedia","de","Jugendarbeitslosigkeit","all-access","all-agents","daily",2017-08-03,12
"wikipedia","de","Jugendarbeitslosigkeit","all-access","all-agents","daily",2017-08-04,6
"wikipedia","de","Jugendarbeitslosigkeit","all-access","all-agents","daily",2017-08-05,9
"wikipedia","de","Jugendarbeitslosigkeit","all-access","all-agents","daily",2017-08-06,7
"wikipedia","de","Jugendarbeitslosigkeit","all-access","all-agents","daily",2017-08-07,13
"wikipedia","de","Jugendarbeitslosigkeit","all-access","all-agents","daily",2017-08-08,15
"wikipedia","de","Jugendarbeitslosigkeit","all-access","all-agents","daily",2017-08-09,13
"wikipedia","de","Jugendarbeitslosigkeit","all-access","all-agents","daily",2017-08-10,17
"wikipedia","de","Jugendarbeitslosigkeit","all-access","all-agents","daily",2017-08-11,11
"wikipedia","de","Jugendarbeitslosigkeit","all-access","all-agents","daily",2017-08-12,12
"wikipedia","de","Jugendarbeitslosigkeit","all-access","all-agents","daily",2017-08-13,11
"wikipedia","de","Jugendarbeitslosigkeit","all-access","all-agents","daily",2017-08-14,14
"wikipedia","de","Jugendarbeitslosigkeit","all-access","all-agents","daily",2017-08-15,16
"wikipedia","de","Jugendarbeitslosigkeit","all-access","all-agents","daily",2017-08-16,8
"wikipedia","de","Jugendarbeitslosigkeit","all-access","all-agents","daily",2017-08-17,18
"wikipedia","de","Jugendarbeitslosigkeit","all-access","all-agents","daily",2017-08-18,16
"wikipedia","de","Jugendarbeitslosigkeit","all-access","all-agents","daily",2017-08-19,10
"wikipedia","de","Jugendarbeitslosigkeit","all-access","all-agents","daily",2017-08-20,16
"wikipedia","de","Jugendarbeitslosigkeit","all-access","all-agents","daily",2017-08-21,13
"wikipedia","de","Jugendarbeitslosigkeit","all-access","all-agents","daily",2017-08-22,19
"wikipedia","de","Jugendarbeitslosigkeit","all-access","all-agents","daily",2017-08-23,16
"wikipedia","de","Jugendarbeitslosigkeit","all-access","all-agents","daily",2017-08-24,16
"wikipedia","de","Jugendarbeitslosigkeit","all-access","all-agents","daily",2017-08-25,5
"wikipedia","de","Jugendarbeitslosigkeit","all-access","all-agents","daily",2017-08-26,7
"wikipedia","de","Jugendarbeitslosigkeit","all-access","all-agents","daily",2017-08-27,15
"wikipedia","de","Jugendarbeitslosigkeit","all-access","all-agents","daily",2017-08-28,14
"wikipedia","de","Jugendarbeitslosigkeit","all-access","all-agents","daily",2017-08-29,23
"wikipedia","de","Jugendarbeitslosigkeit","all-access","all-agents","daily",2017-08-30,25
"wikipedia","de","Jugendarbeitslosigkeit","all-access","all-agents","daily",2017-08-31,27
"wikipedia","de","Jugendarbeitslosigkeit","all-access","all-agents","daily",2017-09-01,11
"wikipedia","de","Jugendarbeitslosigkeit","all-access","all-agents","daily",2017-09-02,9
"wikipedia","de","Jugendarbeitslosigkeit","all-access","all-agents","daily",2017-09-03,12
"wikipedia","de","Jugendarbeitslosigkeit","all-access","all-agents","daily",2017-09-04,32
"wikipedia","de","Jugendarbeitslosigkeit","all-access","all-agents","daily",2017-09-05,19
"wikipedia","de","Jugendarbeitslosigkeit","all-access","all-agents","daily",2017-09-06,30
"wikipedia","de","Jugendarbeitslosigkeit","all-access","all-agents","daily",2017-09-07,24
"wikipedia","de","Jugendarbeitslosigkeit","all-access","all-agents","daily",2017-09-08,21
"wikipedia","de","Jugendarbeitslosigkeit","all-access","all-agents","daily",2017-09-09,16
"wikipedia","de","Jugendarbeitslosigkeit","all-access","all-agents","daily",2017-09-10,17
"wikipedia","de","Jugendarbeitslosigkeit","all-access","all-agents","daily",2017-09-11,22
