"project","language","article","access","agent","granularity","date","views"
"wikipedia","de","Lithiumtherapie","all-access","all-agents","daily",2015-07-01,415
"wikipedia","de","Lithiumtherapie","all-access","all-agents","daily",2015-07-02,399
"wikipedia","de","Lithiumtherapie","all-access","all-agents","daily",2015-07-03,351
"wikipedia","de","Lithiumtherapie","all-access","all-agents","daily",2015-07-04,294
"wikipedia","de","Lithiumtherapie","all-access","all-agents","daily",2015-07-05,301
"wikipedia","de","Lithiumtherapie","all-access","all-agents","daily",2015-07-06,413
"wikipedia","de","Lithiumtherapie","all-access","all-agents","daily",2015-07-07,413
"wikipedia","de","Lithiumtherapie","all-access","all-agents","daily",2015-07-08,414
"wikipedia","de","Lithiumtherapie","all-access","all-agents","daily",2015-07-09,410
"wikipedia","de","Lithiumtherapie","all-access","all-agents","daily",2015-07-10,424
"wikipedia","de","Lithiumtherapie","all-access","all-agents","daily",2015-07-11,345
"wikipedia","de","Lithiumtherapie","all-access","all-agents","daily",2015-07-12,400
"wikipedia","de","Lithiumtherapie","all-access","all-agents","daily",2015-07-13,448
"wikipedia","de","Lithiumtherapie","all-access","all-agents","daily",2015-07-14,458
"wikipedia","de","Lithiumtherapie","all-access","all-agents","daily",2015-07-15,480
"wikipedia","de","Lithiumtherapie","all-access","all-agents","daily",2015-07-16,429
"wikipedia","de","Lithiumtherapie","all-access","all-agents","daily",2015-07-17,381
"wikipedia","de","Lithiumtherapie","all-access","all-agents","daily",2015-07-18,353
"wikipedia","de","Lithiumtherapie","all-access","all-agents","daily",2015-07-19,483
"wikipedia","de","Lithiumtherapie","all-access","all-agents","daily",2015-07-20,513
"wikipedia","de","Lithiumtherapie","all-access","all-agents","daily",2015-07-21,459
"wikipedia","de","Lithiumtherapie","all-access","all-agents","daily",2015-07-22,452
"wikipedia","de","Lithiumtherapie","all-access","all-agents","daily",2015-07-23,438
"wikipedia","de","Lithiumtherapie","all-access","all-agents","daily",2015-07-24,365
"wikipedia","de","Lithiumtherapie","all-access","all-agents","daily",2015-07-25,371
"wikipedia","de","Lithiumtherapie","all-access","all-agents","daily",2015-07-26,368
"wikipedia","de","Lithiumtherapie","all-access","all-agents","daily",2015-07-27,498
"wikipedia","de","Lithiumtherapie","all-access","all-agents","daily",2015-07-28,421
"wikipedia","de","Lithiumtherapie","all-access","all-agents","daily",2015-07-29,526
"wikipedia","de","Lithiumtherapie","all-access","all-agents","daily",2015-07-30,530
"wikipedia","de","Lithiumtherapie","all-access","all-agents","daily",2015-07-31,364
"wikipedia","de","Lithiumtherapie","all-access","all-agents","daily",2015-08-01,293
"wikipedia","de","Lithiumtherapie","all-access","all-agents","daily",2015-08-02,349
"wikipedia","de","Lithiumtherapie","all-access","all-agents","daily",2015-08-03,321
"wikipedia","de","Lithiumtherapie","all-access","all-agents","daily",2015-08-04,437
"wikipedia","de","Lithiumtherapie","all-access","all-agents","daily",2015-08-05,432
"wikipedia","de","Lithiumtherapie","all-access","all-agents","daily",2015-08-06,427
"wikipedia","de","Lithiumtherapie","all-access","all-agents","daily",2015-08-07,371
"wikipedia","de","Lithiumtherapie","all-access","all-agents","daily",2015-08-08,298
"wikipedia","de","Lithiumtherapie","all-access","all-agents","daily",2015-08-09,404
"wikipedia","de","Lithiumtherapie","all-access","all-agents","daily",2015-08-10,373
"wikipedia","de","Lithiumtherapie","all-access","all-agents","daily",2015-08-11,410
"wikipedia","de","Lithiumtherapie","all-access","all-agents","daily",2015-08-12,447
"wikipedia","de","Lithiumtherapie","all-access","all-agents","daily",2015-08-13,383
"wikipedia","de","Lithiumtherapie","all-access","all-agents","daily",2015-08-14,421
"wikipedia","de","Lithiumtherapie","all-access","all-agents","daily",2015-08-15,307
"wikipedia","de","Lithiumtherapie","all-access","all-agents","daily",2015-08-16,392
"wikipedia","de","Lithiumtherapie","all-access","all-agents","daily",2015-08-17,498
"wikipedia","de","Lithiumtherapie","all-access","all-agents","daily",2015-08-18,488
"wikipedia","de","Lithiumtherapie","all-access","all-agents","daily",2015-08-19,440
"wikipedia","de","Lithiumtherapie","all-access","all-agents","daily",2015-08-20,384
"wikipedia","de","Lithiumtherapie","all-access","all-agents","daily",2015-08-21,380
"wikipedia","de","Lithiumtherapie","all-access","all-agents","daily",2015-08-22,282
"wikipedia","de","Lithiumtherapie","all-access","all-agents","daily",2015-08-23,304
"wikipedia","de","Lithiumtherapie","all-access","all-agents","daily",2015-08-24,440
"wikipedia","de","Lithiumtherapie","all-access","all-agents","daily",2015-08-25,440
"wikipedia","de","Lithiumtherapie","all-access","all-agents","daily",2015-08-26,491
"wikipedia","de","Lithiumtherapie","all-access","all-agents","daily",2015-08-27,440
"wikipedia","de","Lithiumtherapie","all-access","all-agents","daily",2015-08-28,343
"wikipedia","de","Lithiumtherapie","all-access","all-agents","daily",2015-08-29,288
"wikipedia","de","Lithiumtherapie","all-access","all-agents","daily",2015-08-30,329
"wikipedia","de","Lithiumtherapie","all-access","all-agents","daily",2015-08-31,444
"wikipedia","de","Lithiumtherapie","all-access","all-agents","daily",2015-09-01,405
"wikipedia","de","Lithiumtherapie","all-access","all-agents","daily",2015-09-02,441
"wikipedia","de","Lithiumtherapie","all-access","all-agents","daily",2015-09-03,412
"wikipedia","de","Lithiumtherapie","all-access","all-agents","daily",2015-09-04,356
"wikipedia","de","Lithiumtherapie","all-access","all-agents","daily",2015-09-05,307
"wikipedia","de","Lithiumtherapie","all-access","all-agents","daily",2015-09-06,357
"wikipedia","de","Lithiumtherapie","all-access","all-agents","daily",2015-09-07,384
"wikipedia","de","Lithiumtherapie","all-access","all-agents","daily",2015-09-08,456
