"project","language","article","access","agent","granularity","date","views"
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-07-01,205
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-07-02,207
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-07-03,280
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-07-04,139
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-07-05,181
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-07-06,279
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-07-07,237
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-07-08,261
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-07-09,203
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-07-10,197
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-07-11,196
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-07-12,262
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-07-13,280
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-07-14,280
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-07-15,252
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-07-16,290
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-07-17,252
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-07-18,243
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-07-19,264
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-07-20,249
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-07-21,261
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-07-22,235
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-07-23,248
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-07-24,263
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-07-25,184
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-07-26,182
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-07-27,213
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-07-28,226
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-07-29,173
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-07-30,155
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-07-31,183
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-08-01,151
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-08-02,126
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-08-03,177
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-08-04,207
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-08-05,203
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-08-06,185
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-08-07,163
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-08-08,125
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-08-09,400
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-08-10,178
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-08-11,196
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-08-12,834
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-08-13,275
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-08-14,203
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-08-15,156
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-08-16,159
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-08-17,180
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-08-18,199
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-08-19,189
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-08-20,156
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-08-21,143
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-08-22,158
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-08-23,536
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-08-24,235
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-08-25,202
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-08-26,154
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-08-27,131
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-08-28,156
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-08-29,185
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-08-30,245
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-08-31,184
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-09-01,230
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-09-02,191
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-09-03,181
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-09-04,159
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-09-05,119
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-09-06,163
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-09-07,180
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-09-08,184
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-09-09,227
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-09-10,230
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-09-11,178
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-09-12,136
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-09-13,159
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-09-14,194
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-09-15,192
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-09-16,216
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-09-17,279
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-09-18,196
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-09-19,167
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-09-20,257
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-09-21,218
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-09-22,243
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-09-23,255
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-09-24,242
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-09-25,161
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-09-26,138
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-09-27,182
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-09-28,203
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-09-29,226
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-09-30,259
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-10-01,186
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-10-02,166
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-10-03,163
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-10-04,183
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-10-05,220
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-10-06,208
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-10-07,226
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-10-08,213
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-10-09,180
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-10-10,154
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-10-11,186
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-10-12,220
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-10-13,277
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-10-14,233
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-10-15,250
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-10-16,202
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-10-17,165
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-10-18,218
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-10-19,268
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-10-20,222
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-10-21,245
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-10-22,249
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-10-23,166
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-10-24,175
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-10-25,209
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-10-26,263
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-10-27,291
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-10-28,263
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-10-29,274
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-10-30,230
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-10-31,157
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-11-01,255
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-11-02,294
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-11-03,230
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-11-04,263
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-11-05,285
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-11-06,193
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-11-07,194
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-11-08,206
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-11-09,246
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-11-10,250
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-11-11,290
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-11-12,289
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-11-13,206
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-11-14,179
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-11-15,226
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-11-16,279
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-11-17,213
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-11-18,292
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-11-19,259
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-11-20,204
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-11-21,174
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-11-22,201
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-11-23,245
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-11-24,320
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-11-25,311
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-11-26,241
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-11-27,224
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-11-28,180
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-11-29,227
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-11-30,326
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-12-01,326
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-12-02,254
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-12-03,476
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-12-04,511
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-12-05,186
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-12-06,200
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-12-07,231
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-12-08,277
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-12-09,263
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-12-10,276
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-12-11,215
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-12-12,184
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-12-13,233
"wikipedia","de","Meritokratie","all-access","all-agents","daily",2015-12-14,270
