"project","language","article","access","agent","granularity","date","views"
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-07-01,79
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-07-02,81
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-07-03,73
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-07-04,31
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-07-05,65
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-07-06,90
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-07-07,85
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-07-08,78
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-07-09,92
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-07-10,54
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-07-11,52
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-07-12,60
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-07-13,64
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-07-14,67
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-07-15,71
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-07-16,69
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-07-17,70
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-07-18,55
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-07-19,71
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-07-20,76
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-07-21,72
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-07-22,69
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-07-23,57
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-07-24,53
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-07-25,48
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-07-26,54
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-07-27,59
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-07-28,53
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-07-29,58
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-07-30,47
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-07-31,45
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-08-01,34
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-08-02,40
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-08-03,50
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-08-04,45
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-08-05,34
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-08-06,34
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-08-07,31
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-08-08,29
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-08-09,29
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-08-10,22
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-08-11,44
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-08-12,59
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-08-13,25
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-08-14,17
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-08-15,23
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-08-16,28
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-08-17,45
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-08-18,25
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-08-19,39
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-08-20,48
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-08-21,29
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-08-22,18
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-08-23,26
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-08-24,31
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-08-25,36
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-08-26,56
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-08-27,39
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-08-28,41
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-08-29,20
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-08-30,27
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-08-31,35
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-09-01,44
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-09-02,50
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-09-03,37
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-09-04,45
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-09-05,19
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-09-06,24
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-09-07,58
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-09-08,74
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-09-09,46
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-09-10,54
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-09-11,64
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-09-12,32
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-09-13,41
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-09-14,71
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-09-15,66
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-09-16,72
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-09-17,62
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-09-18,61
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-09-19,33
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-09-20,39
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-09-21,61
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-09-22,119
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-09-23,72
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-09-24,97
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-09-25,50
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-09-26,28
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-09-27,52
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-09-28,86
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-09-29,90
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-09-30,102
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-10-01,65
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-10-02,58
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-10-03,28
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-10-04,53
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-10-05,97
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-10-06,57
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-10-07,73
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-10-08,59
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-10-09,39
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-10-10,25
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-10-11,57
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-10-12,55
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-10-13,87
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-10-14,72
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-10-15,67
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-10-16,47
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-10-17,32
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-10-18,44
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-10-19,79
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-10-20,78
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-10-21,68
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-10-22,54
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-10-23,82
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-10-24,61
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-10-25,83
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-10-26,86
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-10-27,106
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-10-28,99
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-10-29,116
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-10-30,71
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-10-31,37
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-11-01,52
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-11-02,149
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-11-03,142
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-11-04,118
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-11-05,101
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-11-06,60
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-11-07,75
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-11-08,77
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-11-09,140
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-11-10,104
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-11-11,139
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-11-12,140
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-11-13,80
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-11-14,56
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-11-15,84
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-11-16,129
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-11-17,161
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-11-18,140
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-11-19,126
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-11-20,114
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-11-21,61
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-11-22,119
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-11-23,164
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-11-24,199
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-11-25,172
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-11-26,154
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-11-27,90
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-11-28,64
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-11-29,107
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-11-30,138
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-12-01,168
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-12-02,115
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-12-03,84
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-12-04,57
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-12-05,41
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-12-06,86
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-12-07,82
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-12-08,84
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-12-09,109
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-12-10,93
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-12-11,59
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-12-12,29
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-12-13,71
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-12-14,78
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-12-15,127
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-12-16,95
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-12-17,76
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-12-18,70
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-12-19,34
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-12-20,55
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-12-21,80
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-12-22,66
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-12-23,44
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-12-24,25
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-12-25,16
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-12-26,24
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-12-27,37
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-12-28,40
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-12-29,35
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-12-30,42
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2015-12-31,37
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2016-01-01,28
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2016-01-02,52
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2016-01-03,70
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2016-01-04,67
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2016-01-05,84
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2016-01-06,101
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2016-01-07,94
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2016-01-08,95
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2016-01-09,46
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2016-01-10,74
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2016-01-11,159
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2016-01-12,81
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2016-01-13,126
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2016-01-14,92
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2016-01-15,75
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2016-01-16,75
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2016-01-17,76
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2016-01-18,94
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2016-01-19,98
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2016-01-20,103
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2016-01-21,93
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2016-01-22,79
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2016-01-23,82
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2016-01-24,89
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2016-01-25,98
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2016-01-26,101
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2016-01-27,94
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2016-01-28,98
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2016-01-29,69
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2016-01-30,58
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2016-01-31,74
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2016-02-01,81
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2016-02-02,80
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2016-02-03,88
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2016-02-04,96
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2016-02-05,67
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2016-02-06,46
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2016-02-07,65
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2016-02-08,71
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2016-02-09,73
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2016-02-10,103
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2016-02-11,86
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2016-02-12,91
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2016-02-13,53
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2016-02-14,67
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2016-02-15,106
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2016-02-16,98
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2016-02-17,108
"wikipedia","de","Nominallohn","all-access","all-agents","daily",2016-02-18,100
