"project","language","article","access","agent","granularity","date","views"
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-07-01,21
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-07-02,38
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-07-03,46
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-07-04,45
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-07-05,46
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-07-06,55
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-07-07,41
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-07-08,13
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-07-09,28
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-07-10,60
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-07-11,52
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-07-12,38
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-07-13,45
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-07-14,55
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-07-15,29
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-07-16,26
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-07-17,62
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-07-18,33
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-07-19,36
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-07-20,40
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-07-21,69
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-07-22,25
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-07-23,43
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-07-24,54
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-07-25,37
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-07-26,54
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-07-27,35
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-07-28,24
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-07-29,18
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-07-30,32
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-07-31,26
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-08-01,37
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-08-02,51
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-08-03,46
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-08-04,23
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-08-05,43
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-08-06,26
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-08-07,48
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-08-08,44
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-08-09,36
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-08-10,50
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-08-11,37
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-08-12,24
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-08-13,34
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-08-14,48
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-08-15,42
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-08-16,52
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-08-17,48
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-08-18,48
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-08-19,19
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-08-20,32
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-08-21,47
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-08-22,49
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-08-23,41
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-08-24,53
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-08-25,36
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-08-26,26
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-08-27,8512
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-08-28,71
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-08-29,44
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-08-30,34
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-08-31,57
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-09-01,35
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-09-02,16
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-09-03,29
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-09-04,54
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-09-05,45
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-09-06,24
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-09-07,49
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-09-08,32
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-09-09,16
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-09-10,34
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-09-11,46
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-09-12,57
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-09-13,57
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-09-14,44
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-09-15,38
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-09-16,15
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-09-17,33
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-09-18,58
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-09-19,46
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-09-20,42
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-09-21,61
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-09-22,82
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-09-23,43
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-09-24,32
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-09-25,52
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-09-26,68
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-09-27,36
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-09-28,47
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-09-29,30
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-09-30,33
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-10-01,41
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-10-02,41
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-10-03,31
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-10-04,41
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-10-05,39
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-10-06,30
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-10-07,41
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-10-08,40
"wikipedia","de","Pflegeperson","all-access","all-agents","daily",2017-10-09,36
