"project","language","article","access","agent","granularity","date","views"
"wikipedia","de","Phillips-Kurve","all-access","all-agents","daily",2015-07-01,158
"wikipedia","de","Phillips-Kurve","all-access","all-agents","daily",2015-07-02,131
"wikipedia","de","Phillips-Kurve","all-access","all-agents","daily",2015-07-03,96
"wikipedia","de","Phillips-Kurve","all-access","all-agents","daily",2015-07-04,125
"wikipedia","de","Phillips-Kurve","all-access","all-agents","daily",2015-07-05,110
"wikipedia","de","Phillips-Kurve","all-access","all-agents","daily",2015-07-06,146
"wikipedia","de","Phillips-Kurve","all-access","all-agents","daily",2015-07-07,199
"wikipedia","de","Phillips-Kurve","all-access","all-agents","daily",2015-07-08,191
"wikipedia","de","Phillips-Kurve","all-access","all-agents","daily",2015-07-09,183
"wikipedia","de","Phillips-Kurve","all-access","all-agents","daily",2015-07-10,158
"wikipedia","de","Phillips-Kurve","all-access","all-agents","daily",2015-07-11,138
"wikipedia","de","Phillips-Kurve","all-access","all-agents","daily",2015-07-12,159
"wikipedia","de","Phillips-Kurve","all-access","all-agents","daily",2015-07-13,208
"wikipedia","de","Phillips-Kurve","all-access","all-agents","daily",2015-07-14,256
"wikipedia","de","Phillips-Kurve","all-access","all-agents","daily",2015-07-15,221
"wikipedia","de","Phillips-Kurve","all-access","all-agents","daily",2015-07-16,229
"wikipedia","de","Phillips-Kurve","all-access","all-agents","daily",2015-07-17,168
"wikipedia","de","Phillips-Kurve","all-access","all-agents","daily",2015-07-18,137
"wikipedia","de","Phillips-Kurve","all-access","all-agents","daily",2015-07-19,249
"wikipedia","de","Phillips-Kurve","all-access","all-agents","daily",2015-07-20,226
"wikipedia","de","Phillips-Kurve","all-access","all-agents","daily",2015-07-21,207
"wikipedia","de","Phillips-Kurve","all-access","all-agents","daily",2015-07-22,237
"wikipedia","de","Phillips-Kurve","all-access","all-agents","daily",2015-07-23,262
"wikipedia","de","Phillips-Kurve","all-access","all-agents","daily",2015-07-24,240
"wikipedia","de","Phillips-Kurve","all-access","all-agents","daily",2015-07-25,136
"wikipedia","de","Phillips-Kurve","all-access","all-agents","daily",2015-07-26,182
"wikipedia","de","Phillips-Kurve","all-access","all-agents","daily",2015-07-27,184
"wikipedia","de","Phillips-Kurve","all-access","all-agents","daily",2015-07-28,234
"wikipedia","de","Phillips-Kurve","all-access","all-agents","daily",2015-07-29,164
"wikipedia","de","Phillips-Kurve","all-access","all-agents","daily",2015-07-30,164
"wikipedia","de","Phillips-Kurve","all-access","all-agents","daily",2015-07-31,117
"wikipedia","de","Phillips-Kurve","all-access","all-agents","daily",2015-08-01,62
"wikipedia","de","Phillips-Kurve","all-access","all-agents","daily",2015-08-02,95
"wikipedia","de","Phillips-Kurve","all-access","all-agents","daily",2015-08-03,90
"wikipedia","de","Phillips-Kurve","all-access","all-agents","daily",2015-08-04,79
"wikipedia","de","Phillips-Kurve","all-access","all-agents","daily",2015-08-05,104
"wikipedia","de","Phillips-Kurve","all-access","all-agents","daily",2015-08-06,106
"wikipedia","de","Phillips-Kurve","all-access","all-agents","daily",2015-08-07,66
"wikipedia","de","Phillips-Kurve","all-access","all-agents","daily",2015-08-08,68
