"project","language","article","access","agent","granularity","date","views"
"wikipedia","de","Restschuldversicherung","all-access","all-agents","daily",2015-07-01,108
"wikipedia","de","Restschuldversicherung","all-access","all-agents","daily",2015-07-02,99
"wikipedia","de","Restschuldversicherung","all-access","all-agents","daily",2015-07-03,74
"wikipedia","de","Restschuldversicherung","all-access","all-agents","daily",2015-07-04,47
"wikipedia","de","Restschuldversicherung","all-access","all-agents","daily",2015-07-05,50
"wikipedia","de","Restschuldversicherung","all-access","all-agents","daily",2015-07-06,113
"wikipedia","de","Restschuldversicherung","all-access","all-agents","daily",2015-07-07,121
"wikipedia","de","Restschuldversicherung","all-access","all-agents","daily",2015-07-08,107
"wikipedia","de","Restschuldversicherung","all-access","all-agents","daily",2015-07-09,106
"wikipedia","de","Restschuldversicherung","all-access","all-agents","daily",2015-07-10,94
"wikipedia","de","Restschuldversicherung","all-access","all-agents","daily",2015-07-11,50
"wikipedia","de","Restschuldversicherung","all-access","all-agents","daily",2015-07-12,56
"wikipedia","de","Restschuldversicherung","all-access","all-agents","daily",2015-07-13,121
"wikipedia","de","Restschuldversicherung","all-access","all-agents","daily",2015-07-14,133
"wikipedia","de","Restschuldversicherung","all-access","all-agents","daily",2015-07-15,101
"wikipedia","de","Restschuldversicherung","all-access","all-agents","daily",2015-07-16,77
"wikipedia","de","Restschuldversicherung","all-access","all-agents","daily",2015-07-17,68
"wikipedia","de","Restschuldversicherung","all-access","all-agents","daily",2015-07-18,49
"wikipedia","de","Restschuldversicherung","all-access","all-agents","daily",2015-07-19,74
"wikipedia","de","Restschuldversicherung","all-access","all-agents","daily",2015-07-20,112
"wikipedia","de","Restschuldversicherung","all-access","all-agents","daily",2015-07-21,97
"wikipedia","de","Restschuldversicherung","all-access","all-agents","daily",2015-07-22,114
"wikipedia","de","Restschuldversicherung","all-access","all-agents","daily",2015-07-23,99
"wikipedia","de","Restschuldversicherung","all-access","all-agents","daily",2015-07-24,83
"wikipedia","de","Restschuldversicherung","all-access","all-agents","daily",2015-07-25,54
"wikipedia","de","Restschuldversicherung","all-access","all-agents","daily",2015-07-26,40
"wikipedia","de","Restschuldversicherung","all-access","all-agents","daily",2015-07-27,108
"wikipedia","de","Restschuldversicherung","all-access","all-agents","daily",2015-07-28,107
"wikipedia","de","Restschuldversicherung","all-access","all-agents","daily",2015-07-29,124
"wikipedia","de","Restschuldversicherung","all-access","all-agents","daily",2015-07-30,96
"wikipedia","de","Restschuldversicherung","all-access","all-agents","daily",2015-07-31,59
"wikipedia","de","Restschuldversicherung","all-access","all-agents","daily",2015-08-01,44
"wikipedia","de","Restschuldversicherung","all-access","all-agents","daily",2015-08-02,56
"wikipedia","de","Restschuldversicherung","all-access","all-agents","daily",2015-08-03,67
"wikipedia","de","Restschuldversicherung","all-access","all-agents","daily",2015-08-04,97
"wikipedia","de","Restschuldversicherung","all-access","all-agents","daily",2015-08-05,97
"wikipedia","de","Restschuldversicherung","all-access","all-agents","daily",2015-08-06,102
"wikipedia","de","Restschuldversicherung","all-access","all-agents","daily",2015-08-07,86
"wikipedia","de","Restschuldversicherung","all-access","all-agents","daily",2015-08-08,37
"wikipedia","de","Restschuldversicherung","all-access","all-agents","daily",2015-08-09,296
"wikipedia","de","Restschuldversicherung","all-access","all-agents","daily",2015-08-10,148
"wikipedia","de","Restschuldversicherung","all-access","all-agents","daily",2015-08-11,93
"wikipedia","de","Restschuldversicherung","all-access","all-agents","daily",2015-08-12,114
"wikipedia","de","Restschuldversicherung","all-access","all-agents","daily",2015-08-13,96
"wikipedia","de","Restschuldversicherung","all-access","all-agents","daily",2015-08-14,92
"wikipedia","de","Restschuldversicherung","all-access","all-agents","daily",2015-08-15,71
"wikipedia","de","Restschuldversicherung","all-access","all-agents","daily",2015-08-16,80
"wikipedia","de","Restschuldversicherung","all-access","all-agents","daily",2015-08-17,94
