"project","language","article","access","agent","granularity","date","views"
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-07-01,20
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-07-02,46
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-07-03,20
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-07-04,14
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-07-05,20
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-07-06,39
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-07-07,48
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-07-08,41
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-07-09,59
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-07-10,30
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-07-11,12
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-07-12,19
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-07-13,36
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-07-14,43
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-07-15,29
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-07-16,24
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-07-17,17
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-07-18,20
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-07-19,16
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-07-20,30
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-07-21,40
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-07-22,41
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-07-23,37
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-07-24,19
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-07-25,11
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-07-26,20
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-07-27,34
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-07-28,39
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-07-29,42
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-07-30,42
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-07-31,29
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-08-01,10
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-08-02,14
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-08-03,41
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-08-04,36
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-08-05,43
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-08-06,36
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-08-07,21
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-08-08,12
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-08-09,15
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-08-10,31
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-08-11,46
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-08-12,40
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-08-13,32
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-08-14,19
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-08-15,15
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-08-16,23
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-08-17,39
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-08-18,59
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-08-19,35
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-08-20,36
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-08-21,25
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-08-22,18
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-08-23,25
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-08-24,52
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-08-25,33
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-08-26,37
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-08-27,39
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-08-28,23
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-08-29,12
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-08-30,20
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-08-31,52
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-09-01,46
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-09-02,47
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-09-03,39
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-09-04,19
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-09-05,16
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-09-06,16
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-09-07,42
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-09-08,43
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-09-09,36
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-09-10,40
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-09-11,21
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-09-12,14
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-09-13,16
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-09-14,44
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-09-15,58
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-09-16,49
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-09-17,37
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-09-18,32
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-09-19,21
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-09-20,23
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-09-21,33
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-09-22,58
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-09-23,57
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-09-24,47
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-09-25,31
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-09-26,13
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-09-27,15
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-09-28,66
"wikipedia","de","Saison-Kurzarbeitergeld","all-access","all-agents","daily",2015-09-29,59
