"project","language","article","access","agent","granularity","date","views"
"wikipedia","de","Selbstwert","all-access","all-agents","daily",2015-07-01,178
"wikipedia","de","Selbstwert","all-access","all-agents","daily",2015-07-02,225
"wikipedia","de","Selbstwert","all-access","all-agents","daily",2015-07-03,214
"wikipedia","de","Selbstwert","all-access","all-agents","daily",2015-07-04,174
"wikipedia","de","Selbstwert","all-access","all-agents","daily",2015-07-05,226
"wikipedia","de","Selbstwert","all-access","all-agents","daily",2015-07-06,276
"wikipedia","de","Selbstwert","all-access","all-agents","daily",2015-07-07,228
"wikipedia","de","Selbstwert","all-access","all-agents","daily",2015-07-08,283
"wikipedia","de","Selbstwert","all-access","all-agents","daily",2015-07-09,252
"wikipedia","de","Selbstwert","all-access","all-agents","daily",2015-07-10,170
"wikipedia","de","Selbstwert","all-access","all-agents","daily",2015-07-11,147
"wikipedia","de","Selbstwert","all-access","all-agents","daily",2015-07-12,190
"wikipedia","de","Selbstwert","all-access","all-agents","daily",2015-07-13,247
"wikipedia","de","Selbstwert","all-access","all-agents","daily",2015-07-14,299
"wikipedia","de","Selbstwert","all-access","all-agents","daily",2015-07-15,239
"wikipedia","de","Selbstwert","all-access","all-agents","daily",2015-07-16,249
"wikipedia","de","Selbstwert","all-access","all-agents","daily",2015-07-17,183
"wikipedia","de","Selbstwert","all-access","all-agents","daily",2015-07-18,163
"wikipedia","de","Selbstwert","all-access","all-agents","daily",2015-07-19,238
"wikipedia","de","Selbstwert","all-access","all-agents","daily",2015-07-20,249
"wikipedia","de","Selbstwert","all-access","all-agents","daily",2015-07-21,233
"wikipedia","de","Selbstwert","all-access","all-agents","daily",2015-07-22,226
"wikipedia","de","Selbstwert","all-access","all-agents","daily",2015-07-23,182
"wikipedia","de","Selbstwert","all-access","all-agents","daily",2015-07-24,153
"wikipedia","de","Selbstwert","all-access","all-agents","daily",2015-07-25,150
"wikipedia","de","Selbstwert","all-access","all-agents","daily",2015-07-26,184
"wikipedia","de","Selbstwert","all-access","all-agents","daily",2015-07-27,263
"wikipedia","de","Selbstwert","all-access","all-agents","daily",2015-07-28,217
"wikipedia","de","Selbstwert","all-access","all-agents","daily",2015-07-29,222
"wikipedia","de","Selbstwert","all-access","all-agents","daily",2015-07-30,223
"wikipedia","de","Selbstwert","all-access","all-agents","daily",2015-07-31,186
"wikipedia","de","Selbstwert","all-access","all-agents","daily",2015-08-01,131
"wikipedia","de","Selbstwert","all-access","all-agents","daily",2015-08-02,155
"wikipedia","de","Selbstwert","all-access","all-agents","daily",2015-08-03,205
"wikipedia","de","Selbstwert","all-access","all-agents","daily",2015-08-04,217
"wikipedia","de","Selbstwert","all-access","all-agents","daily",2015-08-05,201
"wikipedia","de","Selbstwert","all-access","all-agents","daily",2015-08-06,207
"wikipedia","de","Selbstwert","all-access","all-agents","daily",2015-08-07,176
"wikipedia","de","Selbstwert","all-access","all-agents","daily",2015-08-08,138
"wikipedia","de","Selbstwert","all-access","all-agents","daily",2015-08-09,178
"wikipedia","de","Selbstwert","all-access","all-agents","daily",2015-08-10,243
"wikipedia","de","Selbstwert","all-access","all-agents","daily",2015-08-11,221
"wikipedia","de","Selbstwert","all-access","all-agents","daily",2015-08-12,226
"wikipedia","de","Selbstwert","all-access","all-agents","daily",2015-08-13,375
"wikipedia","de","Selbstwert","all-access","all-agents","daily",2015-08-14,224
"wikipedia","de","Selbstwert","all-access","all-agents","daily",2015-08-15,168
"wikipedia","de","Selbstwert","all-access","all-agents","daily",2015-08-16,221
"wikipedia","de","Selbstwert","all-access","all-agents","daily",2015-08-17,241
"wikipedia","de","Selbstwert","all-access","all-agents","daily",2015-08-18,245
"wikipedia","de","Selbstwert","all-access","all-agents","daily",2015-08-19,231
"wikipedia","de","Selbstwert","all-access","all-agents","daily",2015-08-20,230
"wikipedia","de","Selbstwert","all-access","all-agents","daily",2015-08-21,223
"wikipedia","de","Selbstwert","all-access","all-agents","daily",2015-08-22,164
"wikipedia","de","Selbstwert","all-access","all-agents","daily",2015-08-23,217
"wikipedia","de","Selbstwert","all-access","all-agents","daily",2015-08-24,224
"wikipedia","de","Selbstwert","all-access","all-agents","daily",2015-08-25,201
"wikipedia","de","Selbstwert","all-access","all-agents","daily",2015-08-26,195
"wikipedia","de","Selbstwert","all-access","all-agents","daily",2015-08-27,231
"wikipedia","de","Selbstwert","all-access","all-agents","daily",2015-08-28,206
"wikipedia","de","Selbstwert","all-access","all-agents","daily",2015-08-29,176
"wikipedia","de","Selbstwert","all-access","all-agents","daily",2015-08-30,171
"wikipedia","de","Selbstwert","all-access","all-agents","daily",2015-08-31,247
"wikipedia","de","Selbstwert","all-access","all-agents","daily",2015-09-01,263
"wikipedia","de","Selbstwert","all-access","all-agents","daily",2015-09-02,259
"wikipedia","de","Selbstwert","all-access","all-agents","daily",2015-09-03,238
"wikipedia","de","Selbstwert","all-access","all-agents","daily",2015-09-04,216
"wikipedia","de","Selbstwert","all-access","all-agents","daily",2015-09-05,160
