"project","language","article","access","agent","granularity","date","views"
"wikipedia","de","Shapiro-Stiglitz-Theorie","all-access","all-agents","daily",2017-07-01,4
"wikipedia","de","Shapiro-Stiglitz-Theorie","all-access","all-agents","daily",2017-07-04,4
"wikipedia","de","Shapiro-Stiglitz-Theorie","all-access","all-agents","daily",2017-07-05,4
"wikipedia","de","Shapiro-Stiglitz-Theorie","all-access","all-agents","daily",2017-07-06,3
"wikipedia","de","Shapiro-Stiglitz-Theorie","all-access","all-agents","daily",2017-07-07,3
"wikipedia","de","Shapiro-Stiglitz-Theorie","all-access","all-agents","daily",2017-07-08,2
"wikipedia","de","Shapiro-Stiglitz-Theorie","all-access","all-agents","daily",2017-07-09,3
"wikipedia","de","Shapiro-Stiglitz-Theorie","all-access","all-agents","daily",2017-07-12,6
"wikipedia","de","Shapiro-Stiglitz-Theorie","all-access","all-agents","daily",2017-07-14,3
"wikipedia","de","Shapiro-Stiglitz-Theorie","all-access","all-agents","daily",2017-07-15,4
"wikipedia","de","Shapiro-Stiglitz-Theorie","all-access","all-agents","daily",2017-07-16,1
"wikipedia","de","Shapiro-Stiglitz-Theorie","all-access","all-agents","daily",2017-07-17,2
"wikipedia","de","Shapiro-Stiglitz-Theorie","all-access","all-agents","daily",2017-07-18,2
"wikipedia","de","Shapiro-Stiglitz-Theorie","all-access","all-agents","daily",2017-07-19,5
"wikipedia","de","Shapiro-Stiglitz-Theorie","all-access","all-agents","daily",2017-07-20,3
"wikipedia","de","Shapiro-Stiglitz-Theorie","all-access","all-agents","daily",2017-07-21,5
"wikipedia","de","Shapiro-Stiglitz-Theorie","all-access","all-agents","daily",2017-07-22,1
"wikipedia","de","Shapiro-Stiglitz-Theorie","all-access","all-agents","daily",2017-07-23,1
"wikipedia","de","Shapiro-Stiglitz-Theorie","all-access","all-agents","daily",2017-07-24,2
"wikipedia","de","Shapiro-Stiglitz-Theorie","all-access","all-agents","daily",2017-07-25,1
"wikipedia","de","Shapiro-Stiglitz-Theorie","all-access","all-agents","daily",2017-07-26,2
"wikipedia","de","Shapiro-Stiglitz-Theorie","all-access","all-agents","daily",2017-07-27,2
"wikipedia","de","Shapiro-Stiglitz-Theorie","all-access","all-agents","daily",2017-07-28,2
"wikipedia","de","Shapiro-Stiglitz-Theorie","all-access","all-agents","daily",2017-07-29,4
"wikipedia","de","Shapiro-Stiglitz-Theorie","all-access","all-agents","daily",2017-07-31,2
"wikipedia","de","Shapiro-Stiglitz-Theorie","all-access","all-agents","daily",2017-08-03,2
"wikipedia","de","Shapiro-Stiglitz-Theorie","all-access","all-agents","daily",2017-08-04,1
