"project","language","article","access","agent","granularity","date","views"
"wikipedia","de","Simbabwe","all-access","all-agents","daily",2015-07-01,814
"wikipedia","de","Simbabwe","all-access","all-agents","daily",2015-07-02,656
"wikipedia","de","Simbabwe","all-access","all-agents","daily",2015-07-03,699
"wikipedia","de","Simbabwe","all-access","all-agents","daily",2015-07-04,519
"wikipedia","de","Simbabwe","all-access","all-agents","daily",2015-07-05,612
"wikipedia","de","Simbabwe","all-access","all-agents","daily",2015-07-06,688
"wikipedia","de","Simbabwe","all-access","all-agents","daily",2015-07-07,608
"wikipedia","de","Simbabwe","all-access","all-agents","daily",2015-07-08,586
"wikipedia","de","Simbabwe","all-access","all-agents","daily",2015-07-09,606
"wikipedia","de","Simbabwe","all-access","all-agents","daily",2015-07-10,629
"wikipedia","de","Simbabwe","all-access","all-agents","daily",2015-07-11,443
"wikipedia","de","Simbabwe","all-access","all-agents","daily",2015-07-12,649
"wikipedia","de","Simbabwe","all-access","all-agents","daily",2015-07-13,796
"wikipedia","de","Simbabwe","all-access","all-agents","daily",2015-07-14,822
"wikipedia","de","Simbabwe","all-access","all-agents","daily",2015-07-15,498
"wikipedia","de","Simbabwe","all-access","all-agents","daily",2015-07-16,481
"wikipedia","de","Simbabwe","all-access","all-agents","daily",2015-07-17,490
"wikipedia","de","Simbabwe","all-access","all-agents","daily",2015-07-18,1049
"wikipedia","de","Simbabwe","all-access","all-agents","daily",2015-07-19,804
"wikipedia","de","Simbabwe","all-access","all-agents","daily",2015-07-20,653
"wikipedia","de","Simbabwe","all-access","all-agents","daily",2015-07-21,510
"wikipedia","de","Simbabwe","all-access","all-agents","daily",2015-07-22,543
"wikipedia","de","Simbabwe","all-access","all-agents","daily",2015-07-23,587
"wikipedia","de","Simbabwe","all-access","all-agents","daily",2015-07-24,465
"wikipedia","de","Simbabwe","all-access","all-agents","daily",2015-07-25,502
"wikipedia","de","Simbabwe","all-access","all-agents","daily",2015-07-26,535
"wikipedia","de","Simbabwe","all-access","all-agents","daily",2015-07-27,891
"wikipedia","de","Simbabwe","all-access","all-agents","daily",2015-07-28,676
"wikipedia","de","Simbabwe","all-access","all-agents","daily",2015-07-29,1311
"wikipedia","de","Simbabwe","all-access","all-agents","daily",2015-07-30,1035
"wikipedia","de","Simbabwe","all-access","all-agents","daily",2015-07-31,1085
"wikipedia","de","Simbabwe","all-access","all-agents","daily",2015-08-01,911
"wikipedia","de","Simbabwe","all-access","all-agents","daily",2015-08-02,1261
"wikipedia","de","Simbabwe","all-access","all-agents","daily",2015-08-03,993
"wikipedia","de","Simbabwe","all-access","all-agents","daily",2015-08-04,974
