"project","language","article","access","agent","granularity","date","views"
"wikipedia","de","Sozialleistung","all-access","all-agents","daily",2015-07-01,80
"wikipedia","de","Sozialleistung","all-access","all-agents","daily",2015-07-02,68
"wikipedia","de","Sozialleistung","all-access","all-agents","daily",2015-07-03,44
"wikipedia","de","Sozialleistung","all-access","all-agents","daily",2015-07-04,31
"wikipedia","de","Sozialleistung","all-access","all-agents","daily",2015-07-05,53
"wikipedia","de","Sozialleistung","all-access","all-agents","daily",2015-07-06,81
"wikipedia","de","Sozialleistung","all-access","all-agents","daily",2015-07-07,92
"wikipedia","de","Sozialleistung","all-access","all-agents","daily",2015-07-08,109
"wikipedia","de","Sozialleistung","all-access","all-agents","daily",2015-07-09,85
"wikipedia","de","Sozialleistung","all-access","all-agents","daily",2015-07-10,73
"wikipedia","de","Sozialleistung","all-access","all-agents","daily",2015-07-11,43
"wikipedia","de","Sozialleistung","all-access","all-agents","daily",2015-07-12,46
"wikipedia","de","Sozialleistung","all-access","all-agents","daily",2015-07-13,98
"wikipedia","de","Sozialleistung","all-access","all-agents","daily",2015-07-14,70
"wikipedia","de","Sozialleistung","all-access","all-agents","daily",2015-07-15,92
"wikipedia","de","Sozialleistung","all-access","all-agents","daily",2015-07-16,52
"wikipedia","de","Sozialleistung","all-access","all-agents","daily",2015-07-17,52
"wikipedia","de","Sozialleistung","all-access","all-agents","daily",2015-07-18,28
"wikipedia","de","Sozialleistung","all-access","all-agents","daily",2015-07-19,44
"wikipedia","de","Sozialleistung","all-access","all-agents","daily",2015-07-20,66
"wikipedia","de","Sozialleistung","all-access","all-agents","daily",2015-07-21,107
"wikipedia","de","Sozialleistung","all-access","all-agents","daily",2015-07-22,97
"wikipedia","de","Sozialleistung","all-access","all-agents","daily",2015-07-23,91
"wikipedia","de","Sozialleistung","all-access","all-agents","daily",2015-07-24,62
"wikipedia","de","Sozialleistung","all-access","all-agents","daily",2015-07-25,59
"wikipedia","de","Sozialleistung","all-access","all-agents","daily",2015-07-26,36
"wikipedia","de","Sozialleistung","all-access","all-agents","daily",2015-07-27,67
