"project","language","article","access","agent","granularity","date","views"
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-07-01,549
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-07-02,549
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-07-03,383
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-07-04,229
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-07-05,384
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-07-06,648
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-07-07,604
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-07-08,631
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-07-09,573
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-07-10,414
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-07-11,220
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-07-12,301
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-07-13,592
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-07-14,597
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-07-15,510
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-07-16,462
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-07-17,333
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-07-18,183
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-07-19,274
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-07-20,439
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-07-21,512
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-07-22,476
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-07-23,413
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-07-24,323
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-07-25,218
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-07-26,248
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-07-27,423
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-07-28,485
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-07-29,434
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-07-30,414
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-07-31,354
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-08-01,163
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-08-02,215
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-08-03,368
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-08-04,419
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-08-05,392
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-08-06,352
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-08-07,272
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-08-08,182
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-08-09,259
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-08-10,373
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-08-11,396
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-08-12,442
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-08-13,429
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-08-14,377
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-08-15,192
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-08-16,253
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-08-17,458
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-08-18,484
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-08-19,417
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-08-20,338
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-08-21,318
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-08-22,162
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-08-23,227
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-08-24,484
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-08-25,500
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-08-26,484
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-08-27,560
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-08-28,398
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-08-29,182
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-08-30,245
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-08-31,522
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-09-01,623
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-09-02,525
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-09-03,523
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-09-04,427
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-09-05,214
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-09-06,315
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-09-07,576
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-09-08,622
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-09-09,599
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-09-10,584
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-09-11,538
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-09-12,216
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-09-13,380
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-09-14,707
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-09-15,725
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-09-16,705
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-09-17,636
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-09-18,501
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-09-19,213
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-09-20,376
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-09-21,702
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-09-22,712
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-09-23,660
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-09-24,603
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-09-25,506
"wikipedia","de","Sozialversicherung","all-access","all-agents","daily",2015-09-26,261
