"project","language","article","access","agent","granularity","date","views"
"wikipedia","de","Stagflation","all-access","all-agents","daily",2015-07-01,79
"wikipedia","de","Stagflation","all-access","all-agents","daily",2015-07-02,99
"wikipedia","de","Stagflation","all-access","all-agents","daily",2015-07-03,65
"wikipedia","de","Stagflation","all-access","all-agents","daily",2015-07-04,81
"wikipedia","de","Stagflation","all-access","all-agents","daily",2015-07-05,172
"wikipedia","de","Stagflation","all-access","all-agents","daily",2015-07-06,117
"wikipedia","de","Stagflation","all-access","all-agents","daily",2015-07-07,80
"wikipedia","de","Stagflation","all-access","all-agents","daily",2015-07-08,127
"wikipedia","de","Stagflation","all-access","all-agents","daily",2015-07-09,85
"wikipedia","de","Stagflation","all-access","all-agents","daily",2015-07-10,81
"wikipedia","de","Stagflation","all-access","all-agents","daily",2015-07-11,72
"wikipedia","de","Stagflation","all-access","all-agents","daily",2015-07-12,100
"wikipedia","de","Stagflation","all-access","all-agents","daily",2015-07-13,126
"wikipedia","de","Stagflation","all-access","all-agents","daily",2015-07-14,263
"wikipedia","de","Stagflation","all-access","all-agents","daily",2015-07-15,147
"wikipedia","de","Stagflation","all-access","all-agents","daily",2015-07-16,108
"wikipedia","de","Stagflation","all-access","all-agents","daily",2015-07-17,73
"wikipedia","de","Stagflation","all-access","all-agents","daily",2015-07-18,70
"wikipedia","de","Stagflation","all-access","all-agents","daily",2015-07-19,202
"wikipedia","de","Stagflation","all-access","all-agents","daily",2015-07-20,111
"wikipedia","de","Stagflation","all-access","all-agents","daily",2015-07-21,92
"wikipedia","de","Stagflation","all-access","all-agents","daily",2015-07-22,72
"wikipedia","de","Stagflation","all-access","all-agents","daily",2015-07-23,87
"wikipedia","de","Stagflation","all-access","all-agents","daily",2015-07-24,86
"wikipedia","de","Stagflation","all-access","all-agents","daily",2015-07-25,67
"wikipedia","de","Stagflation","all-access","all-agents","daily",2015-07-26,74
"wikipedia","de","Stagflation","all-access","all-agents","daily",2015-07-27,111
"wikipedia","de","Stagflation","all-access","all-agents","daily",2015-07-28,79
"wikipedia","de","Stagflation","all-access","all-agents","daily",2015-07-29,91
"wikipedia","de","Stagflation","all-access","all-agents","daily",2015-07-30,52
"wikipedia","de","Stagflation","all-access","all-agents","daily",2015-07-31,60
"wikipedia","de","Stagflation","all-access","all-agents","daily",2015-08-01,43
"wikipedia","de","Stagflation","all-access","all-agents","daily",2015-08-02,43
