"project","language","article","access","agent","granularity","date","views"
"wikipedia","de","Transfergesellschaft","all-access","all-agents","daily",2015-07-01,92
"wikipedia","de","Transfergesellschaft","all-access","all-agents","daily",2015-07-02,88
"wikipedia","de","Transfergesellschaft","all-access","all-agents","daily",2015-07-03,51
"wikipedia","de","Transfergesellschaft","all-access","all-agents","daily",2015-07-04,25
"wikipedia","de","Transfergesellschaft","all-access","all-agents","daily",2015-07-05,33
"wikipedia","de","Transfergesellschaft","all-access","all-agents","daily",2015-07-06,92
"wikipedia","de","Transfergesellschaft","all-access","all-agents","daily",2015-07-07,99
"wikipedia","de","Transfergesellschaft","all-access","all-agents","daily",2015-07-08,109
"wikipedia","de","Transfergesellschaft","all-access","all-agents","daily",2015-07-09,96
"wikipedia","de","Transfergesellschaft","all-access","all-agents","daily",2015-07-10,96
"wikipedia","de","Transfergesellschaft","all-access","all-agents","daily",2015-07-11,28
"wikipedia","de","Transfergesellschaft","all-access","all-agents","daily",2015-07-12,35
"wikipedia","de","Transfergesellschaft","all-access","all-agents","daily",2015-07-13,76
"wikipedia","de","Transfergesellschaft","all-access","all-agents","daily",2015-07-14,77
"wikipedia","de","Transfergesellschaft","all-access","all-agents","daily",2015-07-15,94
"wikipedia","de","Transfergesellschaft","all-access","all-agents","daily",2015-07-16,86
"wikipedia","de","Transfergesellschaft","all-access","all-agents","daily",2015-07-17,50
"wikipedia","de","Transfergesellschaft","all-access","all-agents","daily",2015-07-18,23
"wikipedia","de","Transfergesellschaft","all-access","all-agents","daily",2015-07-19,37
"wikipedia","de","Transfergesellschaft","all-access","all-agents","daily",2015-07-20,56
"wikipedia","de","Transfergesellschaft","all-access","all-agents","daily",2015-07-21,62
"wikipedia","de","Transfergesellschaft","all-access","all-agents","daily",2015-07-22,62
"wikipedia","de","Transfergesellschaft","all-access","all-agents","daily",2015-07-23,81
"wikipedia","de","Transfergesellschaft","all-access","all-agents","daily",2015-07-24,56
"wikipedia","de","Transfergesellschaft","all-access","all-agents","daily",2015-07-25,20
"wikipedia","de","Transfergesellschaft","all-access","all-agents","daily",2015-07-26,31
"wikipedia","de","Transfergesellschaft","all-access","all-agents","daily",2015-07-27,76
"wikipedia","de","Transfergesellschaft","all-access","all-agents","daily",2015-07-28,91
"wikipedia","de","Transfergesellschaft","all-access","all-agents","daily",2015-07-29,71
"wikipedia","de","Transfergesellschaft","all-access","all-agents","daily",2015-07-30,95
"wikipedia","de","Transfergesellschaft","all-access","all-agents","daily",2015-07-31,72
"wikipedia","de","Transfergesellschaft","all-access","all-agents","daily",2015-08-01,24
"wikipedia","de","Transfergesellschaft","all-access","all-agents","daily",2015-08-02,26
"wikipedia","de","Transfergesellschaft","all-access","all-agents","daily",2015-08-03,63
"wikipedia","de","Transfergesellschaft","all-access","all-agents","daily",2015-08-04,94
"wikipedia","de","Transfergesellschaft","all-access","all-agents","daily",2015-08-05,54
"wikipedia","de","Transfergesellschaft","all-access","all-agents","daily",2015-08-06,77
"wikipedia","de","Transfergesellschaft","all-access","all-agents","daily",2015-08-07,50
"wikipedia","de","Transfergesellschaft","all-access","all-agents","daily",2015-08-08,25
