"project","language","article","access","agent","granularity","date","views"
"wikipedia","de","UB40","all-access","all-agents","daily",2015-07-01,78
"wikipedia","de","UB40","all-access","all-agents","daily",2015-07-02,105
"wikipedia","de","UB40","all-access","all-agents","daily",2015-07-03,122
"wikipedia","de","UB40","all-access","all-agents","daily",2015-07-04,168
"wikipedia","de","UB40","all-access","all-agents","daily",2015-07-05,152
"wikipedia","de","UB40","all-access","all-agents","daily",2015-07-06,113
"wikipedia","de","UB40","all-access","all-agents","daily",2015-07-07,112
"wikipedia","de","UB40","all-access","all-agents","daily",2015-07-08,132
"wikipedia","de","UB40","all-access","all-agents","daily",2015-07-09,141
"wikipedia","de","UB40","all-access","all-agents","daily",2015-07-10,133
"wikipedia","de","UB40","all-access","all-agents","daily",2015-07-11,114
"wikipedia","de","UB40","all-access","all-agents","daily",2015-07-12,120
"wikipedia","de","UB40","all-access","all-agents","daily",2015-07-13,134
"wikipedia","de","UB40","all-access","all-agents","daily",2015-07-14,119
"wikipedia","de","UB40","all-access","all-agents","daily",2015-07-15,128
"wikipedia","de","UB40","all-access","all-agents","daily",2015-07-16,117
"wikipedia","de","UB40","all-access","all-agents","daily",2015-07-17,120
"wikipedia","de","UB40","all-access","all-agents","daily",2015-07-18,157
"wikipedia","de","UB40","all-access","all-agents","daily",2015-07-19,159
"wikipedia","de","UB40","all-access","all-agents","daily",2015-07-20,150
"wikipedia","de","UB40","all-access","all-agents","daily",2015-07-21,125
"wikipedia","de","UB40","all-access","all-agents","daily",2015-07-22,123
"wikipedia","de","UB40","all-access","all-agents","daily",2015-07-23,119
"wikipedia","de","UB40","all-access","all-agents","daily",2015-07-24,123
"wikipedia","de","UB40","all-access","all-agents","daily",2015-07-25,147
"wikipedia","de","UB40","all-access","all-agents","daily",2015-07-26,132
"wikipedia","de","UB40","all-access","all-agents","daily",2015-07-27,155
"wikipedia","de","UB40","all-access","all-agents","daily",2015-07-28,149
"wikipedia","de","UB40","all-access","all-agents","daily",2015-07-29,172
"wikipedia","de","UB40","all-access","all-agents","daily",2015-07-30,183
"wikipedia","de","UB40","all-access","all-agents","daily",2015-07-31,144
"wikipedia","de","UB40","all-access","all-agents","daily",2015-08-01,139
"wikipedia","de","UB40","all-access","all-agents","daily",2015-08-02,136
"wikipedia","de","UB40","all-access","all-agents","daily",2015-08-03,130
"wikipedia","de","UB40","all-access","all-agents","daily",2015-08-04,144
"wikipedia","de","UB40","all-access","all-agents","daily",2015-08-05,139
"wikipedia","de","UB40","all-access","all-agents","daily",2015-08-06,156
"wikipedia","de","UB40","all-access","all-agents","daily",2015-08-07,129
"wikipedia","de","UB40","all-access","all-agents","daily",2015-08-08,112
"wikipedia","de","UB40","all-access","all-agents","daily",2015-08-09,155
"wikipedia","de","UB40","all-access","all-agents","daily",2015-08-10,124
"wikipedia","de","UB40","all-access","all-agents","daily",2015-08-11,133
"wikipedia","de","UB40","all-access","all-agents","daily",2015-08-12,150
"wikipedia","de","UB40","all-access","all-agents","daily",2015-08-13,130
"wikipedia","de","UB40","all-access","all-agents","daily",2015-08-14,157
"wikipedia","de","UB40","all-access","all-agents","daily",2015-08-15,178
"wikipedia","de","UB40","all-access","all-agents","daily",2015-08-16,190
"wikipedia","de","UB40","all-access","all-agents","daily",2015-08-17,204
"wikipedia","de","UB40","all-access","all-agents","daily",2015-08-18,180
"wikipedia","de","UB40","all-access","all-agents","daily",2015-08-19,162
"wikipedia","de","UB40","all-access","all-agents","daily",2015-08-20,199
"wikipedia","de","UB40","all-access","all-agents","daily",2015-08-21,453
"wikipedia","de","UB40","all-access","all-agents","daily",2015-08-22,437
"wikipedia","de","UB40","all-access","all-agents","daily",2015-08-23,399
"wikipedia","de","UB40","all-access","all-agents","daily",2015-08-24,261
"wikipedia","de","UB40","all-access","all-agents","daily",2015-08-25,225
"wikipedia","de","UB40","all-access","all-agents","daily",2015-08-26,179
"wikipedia","de","UB40","all-access","all-agents","daily",2015-08-27,148
"wikipedia","de","UB40","all-access","all-agents","daily",2015-08-28,104
"wikipedia","de","UB40","all-access","all-agents","daily",2015-08-29,136
"wikipedia","de","UB40","all-access","all-agents","daily",2015-08-30,116
"wikipedia","de","UB40","all-access","all-agents","daily",2015-08-31,153
"wikipedia","de","UB40","all-access","all-agents","daily",2015-09-01,120
"wikipedia","de","UB40","all-access","all-agents","daily",2015-09-02,106
"wikipedia","de","UB40","all-access","all-agents","daily",2015-09-03,93
"wikipedia","de","UB40","all-access","all-agents","daily",2015-09-04,108
"wikipedia","de","UB40","all-access","all-agents","daily",2015-09-05,116
"wikipedia","de","UB40","all-access","all-agents","daily",2015-09-06,118
"wikipedia","de","UB40","all-access","all-agents","daily",2015-09-07,89
"wikipedia","de","UB40","all-access","all-agents","daily",2015-09-08,102
"wikipedia","de","UB40","all-access","all-agents","daily",2015-09-09,71
"wikipedia","de","UB40","all-access","all-agents","daily",2015-09-10,96
"wikipedia","de","UB40","all-access","all-agents","daily",2015-09-11,108
"wikipedia","de","UB40","all-access","all-agents","daily",2015-09-12,88
"wikipedia","de","UB40","all-access","all-agents","daily",2015-09-13,106
"wikipedia","de","UB40","all-access","all-agents","daily",2015-09-14,108
"wikipedia","de","UB40","all-access","all-agents","daily",2015-09-15,98
"wikipedia","de","UB40","all-access","all-agents","daily",2015-09-16,97
"wikipedia","de","UB40","all-access","all-agents","daily",2015-09-17,84
"wikipedia","de","UB40","all-access","all-agents","daily",2015-09-18,141
"wikipedia","de","UB40","all-access","all-agents","daily",2015-09-19,275
"wikipedia","de","UB40","all-access","all-agents","daily",2015-09-20,265
"wikipedia","de","UB40","all-access","all-agents","daily",2015-09-21,88
"wikipedia","de","UB40","all-access","all-agents","daily",2015-09-22,115
"wikipedia","de","UB40","all-access","all-agents","daily",2015-09-23,96
"wikipedia","de","UB40","all-access","all-agents","daily",2015-09-24,112
"wikipedia","de","UB40","all-access","all-agents","daily",2015-09-25,93
"wikipedia","de","UB40","all-access","all-agents","daily",2015-09-26,283
"wikipedia","de","UB40","all-access","all-agents","daily",2015-09-27,198
"wikipedia","de","UB40","all-access","all-agents","daily",2015-09-28,115
"wikipedia","de","UB40","all-access","all-agents","daily",2015-09-29,117
"wikipedia","de","UB40","all-access","all-agents","daily",2015-09-30,78
"wikipedia","de","UB40","all-access","all-agents","daily",2015-10-01,84
