"project","language","article","access","agent","granularity","date","views"
"wikipedia","de","Umlageverfahren","all-access","all-agents","daily",2015-07-01,138
"wikipedia","de","Umlageverfahren","all-access","all-agents","daily",2015-07-02,138
"wikipedia","de","Umlageverfahren","all-access","all-agents","daily",2015-07-03,93
"wikipedia","de","Umlageverfahren","all-access","all-agents","daily",2015-07-04,71
"wikipedia","de","Umlageverfahren","all-access","all-agents","daily",2015-07-05,126
"wikipedia","de","Umlageverfahren","all-access","all-agents","daily",2015-07-06,139
"wikipedia","de","Umlageverfahren","all-access","all-agents","daily",2015-07-07,152
"wikipedia","de","Umlageverfahren","all-access","all-agents","daily",2015-07-08,185
"wikipedia","de","Umlageverfahren","all-access","all-agents","daily",2015-07-09,138
"wikipedia","de","Umlageverfahren","all-access","all-agents","daily",2015-07-10,125
"wikipedia","de","Umlageverfahren","all-access","all-agents","daily",2015-07-11,81
"wikipedia","de","Umlageverfahren","all-access","all-agents","daily",2015-07-12,111
"wikipedia","de","Umlageverfahren","all-access","all-agents","daily",2015-07-13,153
"wikipedia","de","Umlageverfahren","all-access","all-agents","daily",2015-07-14,145
"wikipedia","de","Umlageverfahren","all-access","all-agents","daily",2015-07-15,176
"wikipedia","de","Umlageverfahren","all-access","all-agents","daily",2015-07-16,113
"wikipedia","de","Umlageverfahren","all-access","all-agents","daily",2015-07-17,108
"wikipedia","de","Umlageverfahren","all-access","all-agents","daily",2015-07-18,68
"wikipedia","de","Umlageverfahren","all-access","all-agents","daily",2015-07-19,104
"wikipedia","de","Umlageverfahren","all-access","all-agents","daily",2015-07-20,148
"wikipedia","de","Umlageverfahren","all-access","all-agents","daily",2015-07-21,141
"wikipedia","de","Umlageverfahren","all-access","all-agents","daily",2015-07-22,108
"wikipedia","de","Umlageverfahren","all-access","all-agents","daily",2015-07-23,117
"wikipedia","de","Umlageverfahren","all-access","all-agents","daily",2015-07-24,80
"wikipedia","de","Umlageverfahren","all-access","all-agents","daily",2015-07-25,92
"wikipedia","de","Umlageverfahren","all-access","all-agents","daily",2015-07-26,98
"wikipedia","de","Umlageverfahren","all-access","all-agents","daily",2015-07-27,111
"wikipedia","de","Umlageverfahren","all-access","all-agents","daily",2015-07-28,120
"wikipedia","de","Umlageverfahren","all-access","all-agents","daily",2015-07-29,137
"wikipedia","de","Umlageverfahren","all-access","all-agents","daily",2015-07-30,91
"wikipedia","de","Umlageverfahren","all-access","all-agents","daily",2015-07-31,69
"wikipedia","de","Umlageverfahren","all-access","all-agents","daily",2015-08-01,51
"wikipedia","de","Umlageverfahren","all-access","all-agents","daily",2015-08-02,63
"wikipedia","de","Umlageverfahren","all-access","all-agents","daily",2015-08-03,79
"wikipedia","de","Umlageverfahren","all-access","all-agents","daily",2015-08-04,104
"wikipedia","de","Umlageverfahren","all-access","all-agents","daily",2015-08-05,71
"wikipedia","de","Umlageverfahren","all-access","all-agents","daily",2015-08-06,77
"wikipedia","de","Umlageverfahren","all-access","all-agents","daily",2015-08-07,88
"wikipedia","de","Umlageverfahren","all-access","all-agents","daily",2015-08-08,58
"wikipedia","de","Umlageverfahren","all-access","all-agents","daily",2015-08-09,64
"wikipedia","de","Umlageverfahren","all-access","all-agents","daily",2015-08-10,81
"wikipedia","de","Umlageverfahren","all-access","all-agents","daily",2015-08-11,104
"wikipedia","de","Umlageverfahren","all-access","all-agents","daily",2015-08-12,105
"wikipedia","de","Umlageverfahren","all-access","all-agents","daily",2015-08-13,102
"wikipedia","de","Umlageverfahren","all-access","all-agents","daily",2015-08-14,90
"wikipedia","de","Umlageverfahren","all-access","all-agents","daily",2015-08-15,49
"wikipedia","de","Umlageverfahren","all-access","all-agents","daily",2015-08-16,63
"wikipedia","de","Umlageverfahren","all-access","all-agents","daily",2015-08-17,117
"wikipedia","de","Umlageverfahren","all-access","all-agents","daily",2015-08-18,121
"wikipedia","de","Umlageverfahren","all-access","all-agents","daily",2015-08-19,97
"wikipedia","de","Umlageverfahren","all-access","all-agents","daily",2015-08-20,111
"wikipedia","de","Umlageverfahren","all-access","all-agents","daily",2015-08-21,103
"wikipedia","de","Umlageverfahren","all-access","all-agents","daily",2015-08-22,44
