"project","language","article","access","agent","granularity","date","views"
"wikipedia","de","Vermittlungsgutschein","all-access","all-agents","daily",2015-07-01,186
"wikipedia","de","Vermittlungsgutschein","all-access","all-agents","daily",2015-07-02,148
"wikipedia","de","Vermittlungsgutschein","all-access","all-agents","daily",2015-07-03,130
"wikipedia","de","Vermittlungsgutschein","all-access","all-agents","daily",2015-07-04,51
"wikipedia","de","Vermittlungsgutschein","all-access","all-agents","daily",2015-07-05,54
"wikipedia","de","Vermittlungsgutschein","all-access","all-agents","daily",2015-07-06,167
"wikipedia","de","Vermittlungsgutschein","all-access","all-agents","daily",2015-07-07,180
"wikipedia","de","Vermittlungsgutschein","all-access","all-agents","daily",2015-07-08,193
"wikipedia","de","Vermittlungsgutschein","all-access","all-agents","daily",2015-07-09,179
"wikipedia","de","Vermittlungsgutschein","all-access","all-agents","daily",2015-07-10,135
"wikipedia","de","Vermittlungsgutschein","all-access","all-agents","daily",2015-07-11,48
"wikipedia","de","Vermittlungsgutschein","all-access","all-agents","daily",2015-07-12,282
"wikipedia","de","Vermittlungsgutschein","all-access","all-agents","daily",2015-07-13,180
"wikipedia","de","Vermittlungsgutschein","all-access","all-agents","daily",2015-07-14,181
"wikipedia","de","Vermittlungsgutschein","all-access","all-agents","daily",2015-07-15,184
"wikipedia","de","Vermittlungsgutschein","all-access","all-agents","daily",2015-07-16,146
"wikipedia","de","Vermittlungsgutschein","all-access","all-agents","daily",2015-07-17,123
"wikipedia","de","Vermittlungsgutschein","all-access","all-agents","daily",2015-07-18,51
"wikipedia","de","Vermittlungsgutschein","all-access","all-agents","daily",2015-07-19,56
"wikipedia","de","Vermittlungsgutschein","all-access","all-agents","daily",2015-07-20,158
"wikipedia","de","Vermittlungsgutschein","all-access","all-agents","daily",2015-07-21,179
"wikipedia","de","Vermittlungsgutschein","all-access","all-agents","daily",2015-07-22,158
"wikipedia","de","Vermittlungsgutschein","all-access","all-agents","daily",2015-07-23,168
"wikipedia","de","Vermittlungsgutschein","all-access","all-agents","daily",2015-07-24,147
"wikipedia","de","Vermittlungsgutschein","all-access","all-agents","daily",2015-07-25,64
"wikipedia","de","Vermittlungsgutschein","all-access","all-agents","daily",2015-07-26,60
"wikipedia","de","Vermittlungsgutschein","all-access","all-agents","daily",2015-07-27,212
"wikipedia","de","Vermittlungsgutschein","all-access","all-agents","daily",2015-07-28,190
"wikipedia","de","Vermittlungsgutschein","all-access","all-agents","daily",2015-07-29,187
"wikipedia","de","Vermittlungsgutschein","all-access","all-agents","daily",2015-07-30,141
"wikipedia","de","Vermittlungsgutschein","all-access","all-agents","daily",2015-07-31,101
"wikipedia","de","Vermittlungsgutschein","all-access","all-agents","daily",2015-08-01,36
"wikipedia","de","Vermittlungsgutschein","all-access","all-agents","daily",2015-08-02,55
"wikipedia","de","Vermittlungsgutschein","all-access","all-agents","daily",2015-08-03,156
"wikipedia","de","Vermittlungsgutschein","all-access","all-agents","daily",2015-08-04,191
"wikipedia","de","Vermittlungsgutschein","all-access","all-agents","daily",2015-08-05,211
"wikipedia","de","Vermittlungsgutschein","all-access","all-agents","daily",2015-08-06,136
"wikipedia","de","Vermittlungsgutschein","all-access","all-agents","daily",2015-08-07,102
"wikipedia","de","Vermittlungsgutschein","all-access","all-agents","daily",2015-08-08,47
"wikipedia","de","Vermittlungsgutschein","all-access","all-agents","daily",2015-08-09,50
"wikipedia","de","Vermittlungsgutschein","all-access","all-agents","daily",2015-08-10,164
"wikipedia","de","Vermittlungsgutschein","all-access","all-agents","daily",2015-08-11,162
"wikipedia","de","Vermittlungsgutschein","all-access","all-agents","daily",2015-08-12,162
"wikipedia","de","Vermittlungsgutschein","all-access","all-agents","daily",2015-08-13,163
"wikipedia","de","Vermittlungsgutschein","all-access","all-agents","daily",2015-08-14,122
"wikipedia","de","Vermittlungsgutschein","all-access","all-agents","daily",2015-08-15,45
"wikipedia","de","Vermittlungsgutschein","all-access","all-agents","daily",2015-08-16,71
"wikipedia","de","Vermittlungsgutschein","all-access","all-agents","daily",2015-08-17,188
"wikipedia","de","Vermittlungsgutschein","all-access","all-agents","daily",2015-08-18,197
"wikipedia","de","Vermittlungsgutschein","all-access","all-agents","daily",2015-08-19,153
"wikipedia","de","Vermittlungsgutschein","all-access","all-agents","daily",2015-08-20,174
"wikipedia","de","Vermittlungsgutschein","all-access","all-agents","daily",2015-08-21,122
"wikipedia","de","Vermittlungsgutschein","all-access","all-agents","daily",2015-08-22,38
"wikipedia","de","Vermittlungsgutschein","all-access","all-agents","daily",2015-08-23,82
"wikipedia","de","Vermittlungsgutschein","all-access","all-agents","daily",2015-08-24,207
"wikipedia","de","Vermittlungsgutschein","all-access","all-agents","daily",2015-08-25,197
"wikipedia","de","Vermittlungsgutschein","all-access","all-agents","daily",2015-08-26,215
"wikipedia","de","Vermittlungsgutschein","all-access","all-agents","daily",2015-08-27,180
"wikipedia","de","Vermittlungsgutschein","all-access","all-agents","daily",2015-08-28,127
"wikipedia","de","Vermittlungsgutschein","all-access","all-agents","daily",2015-08-29,46
"wikipedia","de","Vermittlungsgutschein","all-access","all-agents","daily",2015-08-30,77
"wikipedia","de","Vermittlungsgutschein","all-access","all-agents","daily",2015-08-31,149
"wikipedia","de","Vermittlungsgutschein","all-access","all-agents","daily",2015-09-01,200
"wikipedia","de","Vermittlungsgutschein","all-access","all-agents","daily",2015-09-02,183
"wikipedia","de","Vermittlungsgutschein","all-access","all-agents","daily",2015-09-03,196
"wikipedia","de","Vermittlungsgutschein","all-access","all-agents","daily",2015-09-04,102
"wikipedia","de","Vermittlungsgutschein","all-access","all-agents","daily",2015-09-05,45
"wikipedia","de","Vermittlungsgutschein","all-access","all-agents","daily",2015-09-06,73
"wikipedia","de","Vermittlungsgutschein","all-access","all-agents","daily",2015-09-07,249
"wikipedia","de","Vermittlungsgutschein","all-access","all-agents","daily",2015-09-08,202
"wikipedia","de","Vermittlungsgutschein","all-access","all-agents","daily",2015-09-09,236
"wikipedia","de","Vermittlungsgutschein","all-access","all-agents","daily",2015-09-10,201
"wikipedia","de","Vermittlungsgutschein","all-access","all-agents","daily",2015-09-11,140
"wikipedia","de","Vermittlungsgutschein","all-access","all-agents","daily",2015-09-12,49
"wikipedia","de","Vermittlungsgutschein","all-access","all-agents","daily",2015-09-13,86
"wikipedia","de","Vermittlungsgutschein","all-access","all-agents","daily",2015-09-14,240
"wikipedia","de","Vermittlungsgutschein","all-access","all-agents","daily",2015-09-15,229
