"project","language","article","access","agent","granularity","date","views"
"wikipedia","de","Wirtschaftswunder","all-access","all-agents","daily",2015-07-01,408
"wikipedia","de","Wirtschaftswunder","all-access","all-agents","daily",2015-07-02,346
"wikipedia","de","Wirtschaftswunder","all-access","all-agents","daily",2015-07-03,276
"wikipedia","de","Wirtschaftswunder","all-access","all-agents","daily",2015-07-04,201
"wikipedia","de","Wirtschaftswunder","all-access","all-agents","daily",2015-07-05,304
"wikipedia","de","Wirtschaftswunder","all-access","all-agents","daily",2015-07-06,352
"wikipedia","de","Wirtschaftswunder","all-access","all-agents","daily",2015-07-07,404
"wikipedia","de","Wirtschaftswunder","all-access","all-agents","daily",2015-07-08,402
"wikipedia","de","Wirtschaftswunder","all-access","all-agents","daily",2015-07-09,327
"wikipedia","de","Wirtschaftswunder","all-access","all-agents","daily",2015-07-10,299
"wikipedia","de","Wirtschaftswunder","all-access","all-agents","daily",2015-07-11,188
"wikipedia","de","Wirtschaftswunder","all-access","all-agents","daily",2015-07-12,233
"wikipedia","de","Wirtschaftswunder","all-access","all-agents","daily",2015-07-13,358
"wikipedia","de","Wirtschaftswunder","all-access","all-agents","daily",2015-07-14,261
"wikipedia","de","Wirtschaftswunder","all-access","all-agents","daily",2015-07-15,275
"wikipedia","de","Wirtschaftswunder","all-access","all-agents","daily",2015-07-16,247
"wikipedia","de","Wirtschaftswunder","all-access","all-agents","daily",2015-07-17,220
"wikipedia","de","Wirtschaftswunder","all-access","all-agents","daily",2015-07-18,168
"wikipedia","de","Wirtschaftswunder","all-access","all-agents","daily",2015-07-19,224
"wikipedia","de","Wirtschaftswunder","all-access","all-agents","daily",2015-07-20,202
"wikipedia","de","Wirtschaftswunder","all-access","all-agents","daily",2015-07-21,214
"wikipedia","de","Wirtschaftswunder","all-access","all-agents","daily",2015-07-22,236
"wikipedia","de","Wirtschaftswunder","all-access","all-agents","daily",2015-07-23,193
"wikipedia","de","Wirtschaftswunder","all-access","all-agents","daily",2015-07-24,141
"wikipedia","de","Wirtschaftswunder","all-access","all-agents","daily",2015-07-25,148
"wikipedia","de","Wirtschaftswunder","all-access","all-agents","daily",2015-07-26,151
"wikipedia","de","Wirtschaftswunder","all-access","all-agents","daily",2015-07-27,180
"wikipedia","de","Wirtschaftswunder","all-access","all-agents","daily",2015-07-28,242
"wikipedia","de","Wirtschaftswunder","all-access","all-agents","daily",2015-07-29,173
"wikipedia","de","Wirtschaftswunder","all-access","all-agents","daily",2015-07-30,177
"wikipedia","de","Wirtschaftswunder","all-access","all-agents","daily",2015-07-31,163
"wikipedia","de","Wirtschaftswunder","all-access","all-agents","daily",2015-08-01,131
"wikipedia","de","Wirtschaftswunder","all-access","all-agents","daily",2015-08-02,129
"wikipedia","de","Wirtschaftswunder","all-access","all-agents","daily",2015-08-03,131
"wikipedia","de","Wirtschaftswunder","all-access","all-agents","daily",2015-08-04,173
"wikipedia","de","Wirtschaftswunder","all-access","all-agents","daily",2015-08-05,144
"wikipedia","de","Wirtschaftswunder","all-access","all-agents","daily",2015-08-06,175
"wikipedia","de","Wirtschaftswunder","all-access","all-agents","daily",2015-08-07,159
"wikipedia","de","Wirtschaftswunder","all-access","all-agents","daily",2015-08-08,147
"wikipedia","de","Wirtschaftswunder","all-access","all-agents","daily",2015-08-09,179
"wikipedia","de","Wirtschaftswunder","all-access","all-agents","daily",2015-08-10,162
"wikipedia","de","Wirtschaftswunder","all-access","all-agents","daily",2015-08-11,195
"wikipedia","de","Wirtschaftswunder","all-access","all-agents","daily",2015-08-12,201
"wikipedia","de","Wirtschaftswunder","all-access","all-agents","daily",2015-08-13,180
"wikipedia","de","Wirtschaftswunder","all-access","all-agents","daily",2015-08-14,181
