"project","language","article","access","agent","granularity","date","views"
"wikipedia","de","Wohlstand","all-access","all-agents","daily",2015-07-01,66
"wikipedia","de","Wohlstand","all-access","all-agents","daily",2015-07-02,57
"wikipedia","de","Wohlstand","all-access","all-agents","daily",2015-07-03,55
"wikipedia","de","Wohlstand","all-access","all-agents","daily",2015-07-04,53
"wikipedia","de","Wohlstand","all-access","all-agents","daily",2015-07-05,72
"wikipedia","de","Wohlstand","all-access","all-agents","daily",2015-07-06,88
"wikipedia","de","Wohlstand","all-access","all-agents","daily",2015-07-07,88
"wikipedia","de","Wohlstand","all-access","all-agents","daily",2015-07-08,97
"wikipedia","de","Wohlstand","all-access","all-agents","daily",2015-07-09,99
"wikipedia","de","Wohlstand","all-access","all-agents","daily",2015-07-10,56
"wikipedia","de","Wohlstand","all-access","all-agents","daily",2015-07-11,66
"wikipedia","de","Wohlstand","all-access","all-agents","daily",2015-07-12,83
"wikipedia","de","Wohlstand","all-access","all-agents","daily",2015-07-13,85
"wikipedia","de","Wohlstand","all-access","all-agents","daily",2015-07-14,66
"wikipedia","de","Wohlstand","all-access","all-agents","daily",2015-07-15,50
"wikipedia","de","Wohlstand","all-access","all-agents","daily",2015-07-16,77
"wikipedia","de","Wohlstand","all-access","all-agents","daily",2015-07-17,55
"wikipedia","de","Wohlstand","all-access","all-agents","daily",2015-07-18,47
"wikipedia","de","Wohlstand","all-access","all-agents","daily",2015-07-19,61
"wikipedia","de","Wohlstand","all-access","all-agents","daily",2015-07-20,73
"wikipedia","de","Wohlstand","all-access","all-agents","daily",2015-07-21,60
"wikipedia","de","Wohlstand","all-access","all-agents","daily",2015-07-22,52
"wikipedia","de","Wohlstand","all-access","all-agents","daily",2015-07-23,76
"wikipedia","de","Wohlstand","all-access","all-agents","daily",2015-07-24,55
"wikipedia","de","Wohlstand","all-access","all-agents","daily",2015-07-25,45
"wikipedia","de","Wohlstand","all-access","all-agents","daily",2015-07-26,38
"wikipedia","de","Wohlstand","all-access","all-agents","daily",2015-07-27,55
"wikipedia","de","Wohlstand","all-access","all-agents","daily",2015-07-28,59
"wikipedia","de","Wohlstand","all-access","all-agents","daily",2015-07-29,44
"wikipedia","de","Wohlstand","all-access","all-agents","daily",2015-07-30,56
"wikipedia","de","Wohlstand","all-access","all-agents","daily",2015-07-31,45
"wikipedia","de","Wohlstand","all-access","all-agents","daily",2015-08-01,40
"wikipedia","de","Wohlstand","all-access","all-agents","daily",2015-08-02,53
"wikipedia","de","Wohlstand","all-access","all-agents","daily",2015-08-03,50
